CDC5_1	CDC5_2	pEhEx_1	pEhEx_2
EHI_001130A	491.45586097997	307.019273815098	144.328800987115	260.201756789838
EHI_001140A	2.38838362345406	2.8573222318762	5.35246692014673	4.29848717163828
EHI_001150A	10.1046999453826	11.1435567043172	10.7988367687171	6.73429656889998
EHI_001180A	2.20466180626529	1.4286611159381	1.0329322126599	0.573131622885105
EHI_001400A	177.291553587167	244.301050825415	224.521901860892	273.670349927637
EHI_001410A	2.02093998907651	2.8573222318762	3.28660249482694	2.00596068009787
EHI_001420A	1286.23644213861	1076.06755252458	1137.35226906697	1532.69724250049
EHI_001430A	1.65349635469896	1.85725945071953	1.12683514108352	2.29252649154042
EHI_001635A	17.2698508157447	40.2882434694545	51.4588047761475	30.089410201468
EHI_001780A	1026.63751445087	646.326288850397	594.405536921558	357.347566868863
EHI_001800A	2.02093998907651	1.4286611159381	1.12683514108352	0.143282905721276
EHI_001810A	86.3492540787237	72.4331185780617	79.535780374812	64.0474588574104
EHI_001820A	0	3.71451890143906	3.19269956640331	3.0089410201468
EHI_001830A	4.59304542971935	4.42884945940811	6.57320498965388	5.58803332312977
EHI_001840A	13.4116926547805	18.2868622840077	15.6817890467457	17.7670803094382
EHI_001850A	20.5768435251427	17.7153978376325	22.0671881795523	18.7700606494872
EHI_001860A	2.02093998907651	1.14292889275048	0.751223427389015	0
EHI_001870A	1.65349635469896	0.28573222318762	1.22073806950715	0.429848717163828
EHI_001910A	2.02093998907651	1.71439333912572	2.06586442531979	1.28954615149149
EHI_001940A	54.7491015222546	35.2879295636711	123.576253805493	179.246915057316
EHI_001950A	19.8419562563876	25.0015695289168	31.7391898071859	38.2565358275807
EHI_001990A	4.77676724690812	2.8573222318762	5.07075813487585	1.14626324577021
EHI_002110A	21.6791744282753	20.0012556231334	21.3159647521633	12.7521786091936
EHI_002130A	12.3093617516479	16.8582011680696	21.3159647521633	16.9073828751106
EHI_002140A	49.604890640969	36.2879923448278	33.7111513040821	33.2416341273361
EHI_002150A	2.93954907502038	2.8573222318762	3.38050542325057	2.86565811442552
EHI_002160A	202.645164359218	196.298037329895	181.2326518576	219.509411564995
EHI_002180A	104.537713980412	98.4347508881352	73.6198958841235	42.9848717163828
EHI_002190A	48.1351161034588	41.2883062506111	17.372041758371	50.5788657196105
EHI_002200A	19.2907908048213	34.4307328941082	23.7574408911776	17.7670803094382
EHI_002210A	2.02093998907651	2.00012556231334	2.53537906743793	2.86565811442552
EHI_002670A	23.1489489657855	25.2873017521044	33.0538308051167	40.4057794133999
EHI_002780A	6.98142905317341	4.14311723622049	4.41343763591046	2.86565811442552
EHI_002790A	4.2256017953418	3.57165278984525	4.50734056433409	6.73429656889998
EHI_002990A	5.69537633285199	7.14330557969051	7.79394305916103	5.30146751168722
EHI_003000A	15.0651890094795	10.0006278115667	9.39029284236269	8.59697434327657
EHI_003010A	90.3911340568768	87.291194183818	115.124990247367	154.172406556093
EHI_003040A	0.551165451566322	1.85725945071953	1.78415564004891	1.71939486865531
EHI_003240.mRNA	8.08375995630605	16.572468944882	6.94881670334839	0.716414528606381
EHI_003260A	119.235459355514	160.724375543036	134.844605216328	159.760439879223
EHI_003890A	7.16515087036218	5.71464446375241	3.28660249482694	1.43282905721276
EHI_003900A	3.67443634377548	2.28585778550096	3.56831128009782	3.5820726430319
EHI_003930A	10.2884217625713	23.8586406361663	12.8647011940369	23.2118307268467
