logFC	AveExpr	t	P.Value	adj.P.Val	B	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	CmasM_1	CmasM_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_006810A	-1.05454119624895	5.72274667311139	-3.43432545439037	0.0118579560155901	0.605148668703839	-2.56176767365649	265	242	699	599	41.193573305663	32.5179249916004	66.5955407341699	86.7138517532845	39.49	UP_pEhEx_DOWN_CmasM
EHI_006850A	-1.52161155001105	2.46866426419191	-2.76726980147614	0.0293248546986909	0.605148668703839	-3.33864503888375	24	20	61	105	3.73073871447514	2.68743181748764	5.8116280182895	15.2002578198579	39.49	UP_pEhEx_DOWN_CmasM
EHI_006880A	-0.914507276064581	2.82148219023387	-2.3893072673164	0.0501169871452798	0.605148668703839	-3.87424612232836	24	51	106	64	3.73073871447514	6.85295113459347	10.0988945891588	9.26491905210386	39.49	UP_pEhEx_DOWN_CmasM
EHI_006940A	-0.887790398180575	4.07270216927076	-2.73866321053034	0.0305241309280318	0.605148668703839	-3.46186357184799	70	103	204	186	10.8813212505525	13.8402738600613	19.4356084546075	26.9261709951768	39.49	UP_pEhEx_DOWN_CmasM
EHI_006960A	-1.68004402758054	0.640732822266876	-2.91752529561257	0.0237941260212123	0.605148668703839	-3.06090919115802	5	6	25	22	0.777237232182322	0.806229545246291	2.38181476159406	3.1848159241607	39.49	UP_pEhEx_DOWN_CmasM
EHI_007510A	0.972559947898791	11.9547511430059	3.04741052113372	0.0199055980682072	0.605148668703839	-3.08829871424707	37582	39449	37214	15620	5842.0259319752	5300.82488840349	3545.47418151845	2261.2193061541	39.49	DOWN_pEhEx_UP_CmasM
EHI_007620A	0.989725492169766	9.90003121261203	3.04701102991267	0.0199164594114345	0.605148668703839	-3.07768776633958	9342	9300	8869	3753	1452.19004460945	1249.65579513175	844.972604823108	543.300643789778	39.49	DOWN_pEhEx_UP_CmasM
EHI_007930A	-1.01756045182261	3.9968441184411	-3.08495069478483	0.018912727431425	0.605148668703839	-2.99672088638176	63	94	201	186	9.79318912549725	12.6309295421919	19.1497906832162	26.9261709951768	39.49	UP_pEhEx_DOWN_CmasM
EHI_009240A	-0.890864717346282	4.20977862594795	-2.79067831330487	0.0283805440871391	0.605148668703839	-3.39568544221945	80	109	222	207	12.4357957149171	14.6465034053076	21.1505150829552	29.9662225591484	39.49	UP_pEhEx_DOWN_CmasM
EHI_009810A	-1.15742573615991	6.46577194279409	-3.28027362529389	0.0145372393142056	0.605148668703839	-2.75807295122574	289	579	1317	958	44.9243120201382	77.8011511162671	125.474001640775	138.68425706118	39.49	UP_pEhEx_DOWN_CmasM
EHI_009940A	-1.61074131161578	2.77969070364034	-2.71492012481361	0.0315587945046061	0.605148668703839	-3.42623640383865	28	25	72	146	4.352528500221	3.35928977185954	6.85962651339089	21.1355965876119	39.49	UP_pEhEx_DOWN_CmasM
EHI_010020A	-2.13113492288973	5.62441935192572	-3.93288645336469	0.00628333503826587	0.605148668703839	-1.94452834499911	131	202	610	1264	20.3636154831768	27.1430613566251	58.116280182895	182.982151279051	39.49	UP_pEhEx_DOWN_CmasM
EHI_010030A	-2.09351125228327	5.38603922909583	-3.58944827557836	0.00969284488345548	0.605148668703839	-2.36137039698029	71	273	704	770	11.036768696989	36.6834443087062	67.0719036864887	111.468557345625	39.49	UP_pEhEx_DOWN_CmasM
EHI_010540A	-1.42329019241956	0.804850914393493	-2.35845260016058	0.0523847659607668	0.605148668703839	-3.68945084678129	4	11	25	24	0.621789785745857	1.4780874996182	2.38181476159406	3.47434464453895	39.49	UP_pEhEx_DOWN_CmasM
EHI_011880A	-1.77287180714981	1.22597795249769	-3.62015127249125	0.00931763890096843	0.605148668703839	-2.27990328744823	6	11	41	33	0.932684678618786	1.4780874996182	3.90617620901426	4.77722388624105	39.49	UP_pEhEx_DOWN_CmasM
EHI_012380A	-1.03580071781614	2.81084355130662	-2.85220326103506	0.0260488156611843	0.605148668703839	-3.25534952826827	24	46	100	73	3.73073871447514	6.18109318022156	9.52725904637623	10.567798293806	39.49	UP_pEhEx_DOWN_CmasM
EHI_012420A	-1.30946747940517	2.81699200280832	-4.10661029593265	0.00508065748291666	0.605148668703839	-1.71842504764265	31	30	113	78	4.81887083953039	4.03114772623145	10.7658027224051	11.2916200947516	39.49	UP_pEhEx_DOWN_CmasM
EHI_012570A	-1.1523241908283	3.90109318586323	-3.58288178000009	0.00977521105280484	0.605148668703839	-2.35732318361775	63	75	195	184	9.79318912549725	10.0778693155786	18.5781551404337	26.6366422747986	39.49	UP_pEhEx_DOWN_CmasM
EHI_013000A	-0.883617010521404	2.89510743547811	-2.62154255326774	0.0359999003538779	0.605148668703839	-3.56769587955334	33	42	90	82	5.12976573240332	5.64360681672403	8.57453314173861	11.8706775355081	39.49	UP_pEhEx_DOWN_CmasM
EHI_013220A	-1.38395155910787	6.96068553542627	-3.05940052052234	0.0195825484289106	0.605148668703839	-3.04822189467012	333	852	1690	1738	51.7639996633426	114.484595424973	161.010677883758	251.600458008695	39.49	UP_pEhEx_DOWN_CmasM
EHI_013250A	0.855557438927848	2.7929894733695	2.52515899443637	0.0412763517280596	0.605148668703839	-3.69458099980766	71	58	55	34	11.036768696989	7.79355227071414	5.23999247550693	4.92198824643017	39.49	DOWN_pEhEx_UP_CmasM
