logFC	AveExpr	t	P.Value	adj.P.Val	B	UmasM_1	UmasM_2	pEhEx_1	pEhEx_2	UmasM_1	UmasM_2	pEhEx_1	pEhEx_2	DE	Regulation
EHI_001800A	0.612968972852276	-0.319880800513611	0.528869395939313	0.614475746118928	0.999154291130592	-4.59987747218603	15	5	12	1	2.37599415295936	0.503670381891712	1.22978796541521	0.15759781493759	0.08	DOWN_pEhEx_UP_UmasM
EHI_001810A	0.0360005015060901	6.30756731624397	0.0921759559856229	0.929335934131643	0.999154291130592	-4.61829137995391	485	829	847	447	76.8238109456861	83.5085493176459	86.8025338922238	70.4462232771025	0.08	DOWN_pEhEx_UP_UmasM
EHI_001820A	-0.720846361469822	1.38551944963569	-1.21773224694438	0.265703588792227	0.999154291130592	-4.58884901455106	7	32	34	21	1.10879727138104	3.22349044410696	3.48439923534311	3.30955411368938	0.08	UP_pEhEx_DOWN_UmasM
EHI_001830A	0.181045469851582	2.82632033111858	0.360353112925248	0.730013222861442	0.999154291130592	-4.61355970938492	32	108	70	39	5.06878752631331	10.879280248861	7.17376313158875	6.14631478256599	0.08	DOWN_pEhEx_UP_UmasM
EHI_001840A	-0.344823981744636	4.02810328297224	-0.780974390304627	0.462323199544569	0.999154291130592	-4.60398890399446	121	108	167	124	19.1663528338722	10.879280248861	17.1145491853617	19.5421290522611	0.08	UP_pEhEx_DOWN_UmasM
EHI_001850A	0.00468505315349246	4.48502222245187	0.0117320729762603	0.990991486056026	0.999154291130592	-4.61939091018296	120	261	235	131	19.0079532236749	26.2915939347474	24.0833476560479	20.6453137568242	0.08	DOWN_pEhEx_UP_UmasM
EHI_001860A	2.24022245389998	-0.698211957171736	1.68990286043362	0.138214067949936	0.999154291130592	-4.58909050200654	15	8	8	0	2.37599415295936	0.805872611026739	0.819858643610142	0	0.08	DOWN_pEhEx_UP_UmasM
EHI_001870A	0.289873221733827	0.0176812885780266	0.411886272235278	0.693672105660368	0.999154291130592	-4.60241722951397	7	11	13	3	1.10879727138104	1.10807484016177	1.33227029586648	0.472793444812769	0.08	DOWN_pEhEx_UP_UmasM
EHI_001910A	0.829024430799881	1.32173595200709	1.62317138400417	0.151896976259396	0.999154291130592	-4.57645984841571	17	40	22	9	2.69279337335395	4.0293630551337	2.25461126992789	1.41838033443831	0.08	DOWN_pEhEx_UP_UmasM
EHI_001920A	0.536720505859367	-0.0462004287131866	0.830376593014486	0.435777107954412	0.999154291130592	-4.59756735377855	8	10	8	4	1.26719688157833	1.00734076378342	0.819858643610142	0.630391259750358	0.08	DOWN_pEhEx_UP_UmasM
EHI_001940A	-0.818262271036609	6.95280722000073	-1.10825174794669	0.307092530117801	0.999154291130592	-4.59129472649489	279	1984	1316	1251	44.1934912450442	199.856407534631	134.866746873868	197.154866486925	0.08	UP_pEhEx_DOWN_UmasM
EHI_001950A	-0.365586156969431	5.07398389437695	-0.899636517209628	0.400433189580372	0.999154291130592	-4.59969172882587	156	352	338	267	24.7103391907774	35.4583948851765	34.6390276925285	42.0786165883364	0.08	UP_pEhEx_DOWN_UmasM
EHI_001990A	0.504287882220147	1.74460324262742	0.693629383422815	0.511945003268045	0.999154291130592	-4.60415340133119	32	32	54	8	5.06878752631331	3.22349044410696	5.53404584436846	1.26078251950072	0.08	DOWN_pEhEx_UP_UmasM
EHI_002110A	0.0869954592977739	4.22604257094881	0.20083377809037	0.84697078002239	0.999154291130592	-4.61814431887984	135	172	227	89	21.3839473766343	17.3262611370749	23.2634890124378	14.0262055294455	0.08	DOWN_pEhEx_UP_UmasM
EHI_002120A	2.4089132392534	-0.895321291802765	2.1279301535019	0.0739299523660316	0.999154291130592	-4.58595470557427	9	10	6	0	1.42559649177562	1.00734076378342	0.614893982707607	0	0.08	DOWN_pEhEx_UP_UmasM
EHI_002130A	-0.148863843266204	4.30867174585468	-0.37926811175548	0.716580089494339	0.999154291130592	-4.61545522574267	107	206	227	118	16.9487582911101	20.7512197339385	23.2634890124378	18.5965421626356	0.08	UP_pEhEx_DOWN_UmasM
EHI_002140A	0.227270978052044	5.31118636561969	0.527158570387021	0.61559800465157	0.999154291130592	-4.61216564294213	355	324	359	232	56.2318616200383	32.6378407465829	36.7911566320051	36.5626930655208	0.08	DOWN_pEhEx_UP_UmasM
EHI_002150A	0.143818334345648	1.87094408544459	0.335234467246754	0.748012056433312	0.999154291130592	-4.61162932592812	23	39	36	20	3.64319103453769	3.92862897875535	3.68936389624564	3.15195629875179	0.08	DOWN_pEhEx_UP_UmasM
EHI_002160A	-0.369142711808514	7.58544496132861	-0.829403920304061	0.436289060671789	0.999154291130592	-4.60153910815554	1346	1325	1930	1532	213.205875325554	133.472651201304	197.790897770947	241.439852484387	0.08	UP_pEhEx_DOWN_UmasM
EHI_002180A	0.431085722839837	6.15522164935236	0.832485972046336	0.434668347239924	0.999154291130592	-4.60201806486248	740	573	784	300	117.215711545995	57.7206257647902	80.346147073794	47.2793444812769	0.08	DOWN_pEhEx_UP_UmasM
EHI_002190A	0.1681739107218	5.10732438811675	0.287460163575721	0.782712353024177	0.999154291130592	-4.61729606141091	273	305	185	353	43.2430935838604	30.7238932953944	18.9592311334845	55.6320286729691	0.08	DOWN_pEhEx_UP_UmasM
EHI_002200A	0.26014104803176	4.62884372008874	0.576823567085463	0.583483627594583	0.999154291130592	-4.61076540633759	227	202	253	124	35.956711514785	20.3482834284252	25.9280296041708	19.5421290522611	0.08	DOWN_pEhEx_UP_UmasM
EHI_002210A	0.148908657338556	1.65352042570096	0.301506371599082	0.772449711738236	0.999154291130592	-4.61146703638283	15	43	27	20	2.37599415295936	4.33156528426872	2.76702292218423	3.15195629875179	0.08	DOWN_pEhEx_UP_UmasM
EHI_002670A	-0.567191085188055	5.04062735407657	-1.1201305212428	0.302356649291537	0.999154291130592	-4.59051372282837	112	406	352	282	17.7407563420966	40.898035009607	36.0737803188463	44.4425838124003	0.08	UP_pEhEx_DOWN_UmasM
