logFC	AveExpr	t	P.Value	adj.P.Val	B	CDC5_1	CDC5_2	pEhEx_1	pEhEx_2	CDC5_1.1	CDC5_2.1	pEhEx_1.1	pEhEx_2.1	DE	Regulation
EHI_140640A	-5.81750534556667	-0.689637398783808	-5.16364334920477	0.00105111339759991	0.0428788537434815	-0.746338920597338	0	0	32	51	0	0	3.00489370955606	7.30742819178508	95.71	UP_pEhEx_DOWN_CDC5
EHI_141810A	-1.3021146830512	5.18231852831549	-4.87513297767331	0.0014801721704031	0.0499532068610293	-0.843972690457476	137	148	537	448	25.169888954862	21.1441845158839	50.4258725634877	64.1907417631317	95	UP_pEhEx_DOWN_CDC5
EHI_141890A	-1.79730576595406	3.11791777021755	-5.77254011079751	0.000529801329490024	0.0363882660921992	0.28990551662486	24	33	152	128	4.40932361253057	4.71458168259573	14.2732451203913	18.3402119323233	96.36	UP_pEhEx_DOWN_CDC5
EHI_143440A	-2.27491715372306	3.97878189885945	-6.3424749877713	0.000291194912159533	0.0290090535609886	0.866477905007462	47	41	291	304	8.63492540787237	5.85751057534622	27.3257521712754	43.558003339268	97.1	UP_pEhEx_DOWN_CDC5
EHI_144610A	-1.65019968507254	6.86590932118811	-5.16153507648314	0.00105370130885495	0.0428788537434815	-0.515376743187738	352	465	1654	1930	64.6700796504484	66.4327418911217	155.315443612679	276.536008042063	95.71	UP_pEhEx_DOWN_CDC5
EHI_147570A	-1.57932103285544	7.6839068346876	-5.60049481684451	0.000639772941247708	0.0370912263742878	-0.00392545384455012	650	825	3071	3069	119.419181172703	117.864542064893	288.375893188958	439.735237658597	96.29	UP_pEhEx_DOWN_CDC5
EHI_148150A	-1.40243232194717	4.08754276955712	-5.00751558949499	0.00126317943558527	0.0462754382532496	-0.640613126677162	49	83	278	205	9.00236904224992	11.8578872622862	26.1050141017683	29.3729956728616	95.37	UP_pEhEx_DOWN_CDC5
EHI_148190A	-2.02645887926631	6.78673847876003	-5.29505012845977	0.000902839763313998	0.0426283624561895	-0.355520882466865	369	306	1695	2191	67.7933505426576	43.7170301477059	159.165463678048	313.932846435316	95.74	UP_pEhEx_DOWN_CDC5
EHI_151350A	-3.27189761062981	1.74246346218572	-5.84434156407429	0.000490244919807156	0.0353124901327761	0.337255701104891	10	4	99	75	1.83721817188774	0.571464446375241	9.29638991393906	10.7462179290957	96.47	UP_pEhEx_DOWN_CDC5
EHI_151890A	-2.31227243147143	1.58920972797006	-5.07044212732829	0.0011725122809611	0.0458473091048344	-0.426510428770388	9	7	64	50	1.65349635469896	1.00006278115667	6.00978741911212	7.16414528606381	95.42	UP_pEhEx_DOWN_CDC5
EHI_152800A	-3.8305976795537	5.00293319356304	-6.4579758281729	0.000259148081849009	0.0287002366818155	0.976087841509972	72	38	755	1419	13.2279708375917	5.42891224056478	70.8967109598383	203.318443218491	97.13	UP_pEhEx_DOWN_CDC5
EHI_155420A	-1.42428265695145	5.81519431040348	-4.87434876553458	0.00148157386777558	0.0499532068610293	-0.85428519436649	181	247	787	804	33.2536489111681	35.2879295636711	73.9016046693944	115.199456199906	95	UP_pEhEx_DOWN_CDC5
EHI_155680A	-2.9208669358231	4.62562735795033	-8.42511522575478	4.38526339355021e-05	0.0182383147354105	2.71728414397717	47	64	550	623	8.63492540787237	9.14343114200385	51.6466106329948	89.265250264355	98.18	UP_pEhEx_DOWN_CDC5
EHI_155900A	-7.29588689962392	0.0402497810672728	-5.28376907688909	0.000914617789341887	0.0426283624561895	-0.63628300228883	0	0	82	153	0	0	7.70004013073741	21.9222845753553	95.74	UP_pEhEx_DOWN_CDC5
EHI_158570A	-3.20363202915152	8.10632920418803	-5.18675120646281	0.00102320296697008	0.0428788537434815	-0.50108319767718	439	707	4325	12142	80.6538777458717	101.006340896824	406.130165432186	1739.74104126774	95.71	UP_pEhEx_DOWN_CDC5
EHI_159820A	-1.71497492400315	2.98364282813487	-5.60777868662239	0.000634635319937813	0.0370912263742878	0.114109035719211	21	33	144	106	3.85815816096425	4.71458168259573	13.5220216930023	15.1879880064553	96.29	UP_pEhEx_DOWN_CDC5
EHI_160210A	-2.00901874511827	2.21936077699611	-5.3789505100775	0.000820317609329536	0.0402040197397177	-0.102056139055802	11	17	86	76	2.02093998907651	2.42872389709477	8.07565184443191	10.889500834817	95.98	UP_pEhEx_DOWN_CDC5
EHI_166030A	-1.30103576844672	4.80174526968957	-5.14566109068649	0.00107341363179869	0.0428824235762265	-0.502804867590756	93	128	435	327	17.086128998556	18.2868622840077	40.8477738642777	46.8535101708573	95.71	UP_pEhEx_DOWN_CDC5
EHI_166800A	2.28111536273779	1.94905777288313	6.10383810512175	0.000372340635613786	0.0310545154685603	0.65687655575	54	51	19	11	9.92097812819379	7.28617169128432	1.78415564004891	1.57611196293404	96.89	DOWN_pEhEx_UP_CDC5
