pEhEx_mean	CDC5_mean	theta	prob	log2FC	CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3	CDC5_1.1	CDC5_2.1	CDC5_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	DE	Regulation
EHI_096200A	41.9137095811874	8.75565549555237	1.02383309353769	0.984245635515457	2.25913511739054	9.42219965750964	8.21105866424144	8.5713205312589	24.8847493552674	57.4898285477479	40.85146507801	9.57310544577757	8.35012494471207	8.32858466211613	25.1096303801346	59.114334370006	41.9366091216238	98.42	UP_pEhEx_DOWN_CDC5
EHI_098440A	271.808588175974	1944.07450573228	-1.47281883349586	0.974303884758378	-2.83842056468145	979.96343183145	1075.5902362923	3708.36150240331	332.59039296131	384.113661014654	91.7866962958093	995.658509364264	1093.80692911939	3603.342404226	335.59597953011	394.967665879339	94.2248410864107	97.43	DOWN_pEhEx_UP_CDC5
EHI_098470A	2543.66223184742	241.396125244553	1.0144526802955	0.983125155666134	3.39743268650459	1.74765519659222	1.74765519659222	703.398416358097	298.0405495057	7347.46101397863	2.508736006074	1.77564561227526	1.77725429187011	683.47849557977	300.733912547777	7555.08023110865	2.57537596448901	98.31	UP_pEhEx_DOWN_CDC5
EHI_099720A	252.941541416943	78.1719146536123	0.945782429623115	0.979808443141115	1.69408171594479	83.0800525196364	76.2447761106341	74.7916858707091	155.737625987848	326.429908762465	260.532406779904	84.4106612172375	77.5360928400101	72.6736196044586	157.145011549283	335.653928049692	267.452971044753	97.98	UP_pEhEx_DOWN_CDC5
EHI_099860A	222.305822625627	28.7129860592604	1.14322011654653	0.984208803404709	2.952770456716	17.4792449056738	19.7779433016005	48.1275642954149	177.006000278624	377.535796412853	105.675006523936	17.7591921925811	20.1129116805612	46.7646137318037	178.60558604025	388.203928756893	108.48206873503	98.42	UP_pEhEx_DOWN_CDC5
EHI_103310A	1540.41275571204	316.270694489204	1.88070052799308	0.999805044757423	2.2840851871975	189.236098098996	428.287731153086	335.033097379229	1305.26060051619	1996.52162280457	1239.89788885206	192.266900203642	435.54140990246	325.545113609709	1317.05611178988	2052.93788081822	1272.8334960869	99.98	UP_pEhEx_DOWN_CDC5
EHI_103900A	21.6232550608523	369.735769645934	-1.43862334203773	0.950475107499714	-4.09583900117936	167.466562120718	165.719135769377	760.603488041425	30.0381574283921	27.8750936326455	6.42590735956745	170.148703710151	168.525831563017	739.063545850552	30.3096092935961	28.6627677838149	6.59659977127736	95.05	DOWN_pEhEx_UP_CDC5
EHI_109880A	44.8462431768885	8.62180237709283	1.2289932664834	0.988005960123119	2.37892573436337	8.50118515006393	8.71484494508896	8.61604022097437	34.1559421522006	54.5159358041526	43.1390675061377	8.63733998576193	8.86244358260324	8.37203791071424	34.464606031705	56.0564075250961	44.2849775013348	98.8	UP_pEhEx_DOWN_CDC5
EHI_112800A	345.604314286503	71.5190908878171	1.14313041473731	0.98420273085081	2.27272092423849	95.0293636935531	74.6919864006657	44.9511814471435	216.732278463592	302.245468179092	487.387513605398	96.5513523541676	75.957004366612	43.6781845900345	218.690866681897	310.786101108624	500.33406659464	98.42	UP_pEhEx_DOWN_CDC5
EHI_117850A	6223.56207876545	1375.80576934717	2.43270071760672	1	2.17746373798406	1012.72386046209	1453.14909496074	1656.25274738509	5039.16159847257	8597.13148614994	4732.86874563501	1028.94362845851	1477.76029893198	1609.34842865258	5084.70000468907	8840.06298389079	4858.58870007788	100	UP_pEhEx_DOWN_CDC5
