pEhEx_mean	UmasM_mean	theta	prob	log2FC	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_166800A	42.177125857138	132.437632596466	-0.925623659961438	0.891162678930207	-1.65078043528872	156.381671319358	141.616919077138	88.4211174353627	33.9634022440682	31.1850078431276	59.7268604277016	160.192580632594	143.3396857281	92.5857612745563	34.6453468896504	31.4351330384632	60.0087545199258	89.12	DOWN_pEhEx_UP_UmasM
EHI_167080A	3748.07385959894	6126.79969218766	-1.00167436435462	0.891064296364704	-0.708984301985931	7351.11136802039	3740.20815691627	6744.73412478766	5455.90902138755	2610.68868871279	3077.1896310437	7530.25268642857	3785.70770543334	7062.41180444749	5565.45717316522	2631.62820623703	3091.71310626796	89.11	DOWN_pEhEx_UP_UmasM
EHI_073480A	10.1089123353269	29.0375944388919	-0.924219658799563	0.890579988038065	-1.5222941617617	29.388311002077	25.5263078481847	29.5553846281668	7.57446048854926	12.7154612004957	9.87524479862372	30.1044830902329	25.8368348118384	30.9474463219886	7.72654662927866	12.8174479382434	9.92185319471327	89.06	DOWN_pEhEx_UP_UmasM
EHI_024690A	282.548113503481	619.577220136062	-0.919278399868987	0.88840171003878	-1.1327875451003	334.613203706755	713.615006795565	746.802446086835	350.625042443865	251.60927790838	239.079496989377	342.767487796312	722.296117381394	781.976919067951	357.665175484229	253.627357240015	240.207885411112	88.84	DOWN_pEhEx_UP_UmasM
EHI_027500A	144.882073597348	398.753678653754	-1.00719712055042	0.885865146783572	-1.46061872849811	270.115241180187	509.549460448205	378.261471641932	192.839747346567	85.0109532570571	151.758199433763	276.69775612312	515.74811823003	396.077626347616	196.711739681534	85.6927995274204	152.474455730522	88.59	DOWN_pEhEx_UP_UmasM
EHI_050640A	6.86472557631213	46.1528029436632	-0.911925216918357	0.884747925560501	-2.74914431444242	63.4274226797411	2.06754513570075	68.7254802095232	5.60532031617037	13.1934013982864	1.91170804254738	64.9731035371298	2.0926967760016	71.9624574843178	5.71786846870574	13.299221544893	1.92073077033506	88.47	DOWN_pEhEx_UP_UmasM
EHI_156240A	571.811290483059	1170.69536542767	-1.00831579468809	0.884668916971285	-1.03375469967358	647.521752914041	1351.03716298854	1393.72664967982	738.297511463627	504.886373590202	459.874468935099	663.301394210135	1367.47249983794	1459.37132001948	753.121645723534	508.935909298251	462.044947929461	88.47	DOWN_pEhEx_UP_UmasM
EHI_137720A	2468.06622296107	4056.53025938335	-0.90253496352661	0.879245470852005	-0.716865144829745	1951.68266594821	5194.1180088238	4606.80400789475	2234.7746030965	3110.33770461798	2028.50975923594	1999.24377451927	5257.30433814851	4823.78495640941	2279.64621412395	3135.28475064217	2038.08375848943	87.92	DOWN_pEhEx_UP_UmasM
EHI_161040A	1332.69461759055	762.173105953934	0.983375169200629	0.871256763923012	0.806155622455271	569.777788893334	919.846915625154	724.592672171928	1035.57973052543	1670.65185068943	1271.10831924512	583.662865474555	931.036832766097	758.721062488773	1056.37293749658	1684.05162671622	1277.10759533642	87.13	UP_pEhEx_DOWN_UmasM
EHI_074010A	1354.80657189371	2212.43047090368	-0.890482240530516	0.870574896098952	-0.707545226769798	2382.91149218431	1311.89968203507	2736.03297980638	1664.51284711724	1348.68551701125	1027.22337834761	2440.98133835981	1327.85891230463	2864.90041807994	1697.9342816201	1359.50290176502	1032.07158566467	87.06	DOWN_pEhEx_UP_UmasM
