pEhEx_mean	U2AF84_mean	theta	prob	log2FC	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_049690A	2440.14210767612	1013.05611168172	1.6582504301647	0.964629238227572	1.2682510840286	856.125819780004	1409.79557025287	767.136954754411	2147.97481376596	2124.23993923461	2908.40696810366	863.482496864332	1415.96366987147	748.451384085952	2150.40929557907	2151.44108045674	3020.62256056564	96.46	UP_pEhEx_DOWN_U2AF84
EHI_152800A	645.45481934182	167.079432888379	1.17877582042833	0.964388502532339	1.94978196131497	76.0041651576554	224.385387695563	200.397050469654	389.867024444892	1124.94951863841	414.059741733025	76.6572678759831	225.367112601974	195.515870877021	390.308893769644	1139.35462898356	430.035483691697	96.44	UP_pEhEx_DOWN_U2AF84
EHI_004430A	56.8574960230195	5.79193783637595	1.03679397932769	0.963919786081089	3.29523254133257	2.34614046300904	2.34614046300904	12.7633616549499	73.8937005432971	87.4142210664907	10.4742508614489	2.36630081488964	2.35640523359027	12.4524775361591	73.9774505337177	88.5335704055813	10.8783807782395	96.39	UP_pEhEx_DOWN_U2AF84
EHI_083560A	501.83676880064	55.5592365216422	1.11895549436611	0.963813100735857	3.17511949915885	83.66703034676	76.1634803464603	6.29778157928929	63.1856677091489	150.761569538276	1215.35533240789	84.3859799574889	76.4967087548828	6.14438309936336	63.2572813788724	152.692089094065	1262.24760717331	96.38	UP_pEhEx_DOWN_U2AF84
EHI_135060A	2152.42171085894	943.706622242921	1.12660526705548	0.963682012065385	1.189550431976	451.340597847928	1020.90384496884	1360.43246125706	1804.77269508994	3338.22404624428	1293.52629044736	455.218961234128	1025.37047598233	1327.29567031388	1806.81819686904	3380.97039614378	1343.43464943549	96.37	UP_pEhEx_DOWN_U2AF84
EHI_066770A	647.298985050796	273.82716554891	1.12757747621321	0.963677680996561	1.24116666274115	188.903771452694	386.84014930454	244.257670815391	583.164010394315	681.679820010068	649.672443126879	190.527018894228	388.532641909661	238.308154316352	583.824959567587	690.408809946606	674.738872588517	96.37	UP_pEhEx_DOWN_U2AF84
EHI_174180A	647.298985050796	273.82716554891	1.12757747621321	0.963677680996561	1.24116666274115	188.903771452694	386.84014930454	244.257670815391	583.164010394315	681.679820010068	649.672443126879	190.527018894228	388.532641909661	238.308154316352	583.824959567587	690.408809946606	674.738872588517	96.37	UP_pEhEx_DOWN_U2AF84
EHI_025230A	812.41310924013	336.954620995427	1.13858140753808	0.963643664790199	1.26965920833001	242.698833914489	492.334431746096	273.662940264764	598.423755827737	898.550246200522	899.855226755411	244.784341568388	494.4884800952	266.997183677281	599.102000163174	910.056287345237	934.574503840011	96.36	UP_pEhEx_DOWN_U2AF84
EHI_160740A	812.41310924013	336.954620995427	1.13858140753808	0.963643664790199	1.26965920833001	242.698833914489	492.334431746096	273.662940264764	598.423755827737	898.550246200522	899.855226755411	244.784341568388	494.4884800952	266.997183677281	599.102000163174	910.056287345237	934.574503840011	96.36	UP_pEhEx_DOWN_U2AF84
EHI_022970A	740.569469461018	368.817181792813	1.17412079748427	0.96362985503049	1.00572920751677	373.29256066993	372.776356081948	360.186837085154	645.673930328848	775.670322696127	767.234293799568	376.500258374382	374.407317157646	351.4135710386	646.405727289647	785.602872028137	796.836633424	96.36	UP_pEhEx_DOWN_U2AF84
