CDC5_1	CDC5_2	CDC5_3	pEhEx_1	pEhEx_2	pEhEx_3
EHI_001410A	17.1001678611156	24.7705976506714	15.6092979062816	26.2992941217796	17.3752755259639	26.5802942232664
EHI_001420A	9352.86415410146	8322.52861127006	15770.0730880883	8163.17765707286	11414.0782515314	5057.22990494447
EHI_001430A	12.6072401850118	14.719306581956	27.5702557983227	9.04629719756303	17.1816113675053	6.00839141358687
EHI_001635A	71.1352668741158	174.317131426526	156.154165239625	206.332761052918	125.794846008682	98.9430095039139
EHI_001780A	16828.3476879764	11269.2320347959	11564.1176405653	9618.13466227277	6001.05619816704	9509.52645251786
EHI_001790A	21.0628517501782	10.1578026864059	10.4764867558685	13.0028586000262	6.20785320160015	12.3999239993766
EHI_001800A	32.7494154734129	25.3006340472102	14.4631169308297	19.2264718498633	4.93032918782329	19.0094768413684
EHI_001810A	724.143694793955	646.291951696928	1128.40944914154	658.516436297005	550.600204297805	348.943777743585
EHI_001820A	2.39835059341365	50.1182088073529	19.0600433200802	40.4430535824243	39.6479475319108	18.916404046471
EHI_001830A	40.6793712640444	41.6712574000166	24.9093043020959	56.6312107365967	50.2249177834792	84.9420764424421
EHI_001840A	120.810683753233	174.29128675012	70.8660347822576	139.100007160768	163.213220818306	298.120897500683
EHI_001850A	206.518786818842	189.292751635341	115.529310185612	218.462393640203	193.107267642635	344.538116226809
EHI_001860A	37.5824892457919	23.7949930184543	14.9186168199163	15.6524966308331	3.01172273543872	12.8220890525151
EHI_001870A	25.7202868164165	6.86426934874099	14.829335323229	19.433898436078	8.79847143599	11.6901888634907
EHI_001900A	20.3387753911964	2.83608216695707	7.86554500340385	5.75775673405661	7.52840917378766	6.02648087550894
EHI_001910A	25.6581067201523	23.3811138928472	14.6213320374283	25.8511799327339	17.6058759950064	35.9284199958429
EHI_001940A	874.387324648894	600.319194365127	1669.14487155672	1944.50278071942	2925.2878570441	1083.30377325481
EHI_001950A	108.442375405445	144.778861876036	357.984214340478	170.257928803899	212.567739892731	60.1256125321736
EHI_001990A	68.5295106937105	44.5463970843417	42.6694221516387	71.6615662473522	18.8314627046876	48.3243673560055
EHI_002110A	128.611219799617	126.23751311528	152.994839718914	124.854017459933	78.1717346698381	74.8249087722962
EHI_002130A	79.2292525377634	114.618322757945	75.6764349797622	134.176740345376	110.770147070992	140.973083448618
EHI_002140A	505.761828199751	394.004328222478	312.256511960611	339.955089141367	347.829051668679	482.710363398097
EHI_002150A	23.4759070236203	24.2094793188868	25.7169583729185	26.3835041281387	23.4644156182629	21.6683438772108
EHI_002160A	1100.077922228	1133.3550002331	559.85912646519	971.254484093302	1220.27848984703	1950.95242395226
EHI_002180A	815.106562679193	816.338826235026	981.913163463563	567.153286766501	344.393699574399	347.248448871472
EHI_002190A	236.68687974624	216.073245649132	2291.31719405642	85.3155946352369	254.615191007948	13.7454675657008
EHI_002200A	88.0100136748156	165.701974545171	184.04098248713	106.641777938434	83.123373215475	54.2555534946819
EHI_002210A	11.7904881346117	12.3288301383027	4.95011619782494	14.2092592442677	16.4214435123195	36.1940022877671
EHI_002670A	250.96202288421	291.220380603833	196.496519361193	352.75883887598	446.895640505823	541.011206843575
EHI_002780A	123.665819625923	79.1643558121739	45.011953904978	78.2686987328943	53.7597959697906	151.302965826478
EHI_002790A	51.0543525976399	46.1360932797672	63.2314437631105	53.6123773458784	81.8835354376364	50.7921113814539
EHI_002990A	32.7623256173711	43.1584120961778	35.3880580236672	43.6655946683666	31.3300792203173	35.3835972031281
EHI_003000A	156.942478090252	111.455071718258	152.111962591041	97.3829969986633	92.661970935911	81.2797275581585
EHI_003010A	622.300357104004	639.136729985008	419.979977639041	781.822763732307	1085.74277377315	1285.54604055298
EHI_003020A	9.84771880218165	12.6178385488987	8.4703908398271	19.7341496324065	16.194904059129	24.2300961770188
EHI_003040A	6.6538578607447	18.7190357422496	5.50568154458333	16.8877227308395	16.9249244116222	34.5274572469124
EHI_003240.mRNA	36.6407865422696	78.1099070172438	172.078905994823	31.3068144325531	4.71998548173807	3.8458892177923
EHI_003260A	639.107496687849	915.582317155636	153.72851761011	713.195574097253	876.440737996896	3540.65425713087
EHI_003890A	74.7340509274514	63.7281980952917	39.7919193017205	35.010572713652	17.0618048761134	41.168732570821
EHI_003900A	40.3393793664513	27.4388824009605	41.0884281484124	38.7423309527212	40.3061771857159	31.4964558734023
EHI_003930A	42.3645932700398	102.335804117581	179.789658621239	51.9310893330585	95.9799872342883	22.6574506037432
EHI_003940A	5796.07248380575	7734.02153864257	18545.0408360829	6961.7125743542	8220.15080708503	2480.50595017885
EHI_003950A	53.7710485957949	42.3685851765992	24.6357662193039	41.397485797738	25.8434024774872	67.1988722222794
EHI_004170A	806.871409216421	755.30385808224	1167.38383565407	1106.38424211225	1793.54450309493	929.076120956357
EHI_004190A	48.6126601630045	45.8986548642706	35.0069568120129	31.3171992959508	27.7996935126087	37.1092850351942
