pEhEx_mean	U2AF84_mean	theta	prob	log2FC	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_049000A	4117.96416638799	1699.25417521016	1.87131553229631	0.995492697748636	1.27702960837022	858.16563445932	2406.49398103639	1825.82080598405	3787.79437426976	5086.71603459347	3366.30328947764	865.539839642393	2417.0228087046	1781.34829884341	3792.08740250123	5151.85202919477	3496.18597858485	99.55	UP_pEhEx_DOWN_U2AF84
EHI_020370A	32116.3893813396	46485.8638612377	-1.47829770922652	0.99129148140337	-0.533482355979089	42970.8966450315	38963.7910445587	57662.521452988	33893.3518357397	35129.147229909	26408.4504218058	43340.1449533266	39134.2643739919	56258.0041593631	33931.7660425082	35578.9800746666	27427.3724442689	99.13	DOWN_pEhEx_UP_U2AF84
EHI_012360A	29605.0611213471	41101.7235389862	-1.47392380150225	0.989186783955849	-0.473355060132794	38360.7505692757	35884.6185600041	49156.1918941389	28434.5943896968	34548.544089725	24952.2050743001	38690.3839574185	36041.6199768931	47958.8678808219	28466.821724236	34990.9422432699	25914.9405189449	98.92	DOWN_pEhEx_UP_U2AF84
EHI_074090A	29605.0611213471	41101.7235389862	-1.47392380150225	0.989186783955849	-0.473355060132794	38360.7505692757	35884.6185600041	49156.1918941389	28434.5943896968	34548.544089725	24952.2050743001	38690.3839574185	36041.6199768931	47958.8678808219	28466.821724236	34990.9422432699	25914.9405189449	98.92	DOWN_pEhEx_UP_U2AF84
EHI_160980A	11103.3700861914	4874.87605153234	1.88362753233648	0.988699372161623	1.18756018619513	4966.72985477696	6210.77002470266	3422.204908454	8379.41246334354	10391.1607193522	13860.7563962303	5009.40889430887	6237.9432184826	3338.84840833684	8388.90956131502	10524.2207494215	14395.5484690152	98.87	UP_pEhEx_DOWN_U2AF84
EHI_015310A	8221.06672395662	4106.90795682148	2.00295834951266	0.985298698777894	1.00127298855627	2970.29862031088	4694.4047015384	4652.04174626537	7356.18091814126	10253.7972273477	6820.56863556784	2995.82235442658	4714.94353458632	4538.72944360059	7364.51830112379	10385.0983018132	7083.72786973338	98.53	UP_pEhEx_DOWN_U2AF84
EHI_005970A	12637.2363742979	20430.3040905069	-1.89917046154089	0.984973447877558	-0.693029681372706	20011.3029591877	16693.8432930804	24647.3670652075	13825.1841701832	13038.8045022757	10662.0022226884	20183.2598030371	16766.8817467553	24047.0177843729	13840.8534225457	13205.7679210889	11073.3761842321	98.5	DOWN_pEhEx_UP_U2AF84
EHI_131940A	7480.20215086635	4637.34558636475	1.54422684907146	0.984590277769442	0.689778015274341	3985.8719837739	5737.56714736597	4172.54281508883	6140.44548007702	7960.64103947676	7987.85636222113	4020.12252546604	5762.66999665853	4070.90992782495	6147.40496710167	8062.5779803722	8296.05327001918	98.46	UP_pEhEx_DOWN_U2AF84
EHI_179000A	5388.14909036533	2840.95731819163	1.54160714371615	0.98425366528706	0.923412613786357	2782.7593474084	3486.68085436102	2241.90914279833	3974.04053311728	5535.82326454188	6355.45517334271	2806.67155919935	3501.93568655212	2187.30174647829	3978.54464989763	5606.71012982407	6600.66885061127	98.43	UP_pEhEx_DOWN_U2AF84
EHI_017750A	1173.16344102502	473.0828182647	1.55643850473815	0.983204705040098	1.31023934843355	406.457622727308	462.707466776433	550.560289983423	1015.70256888334	1447.65192825787	1019.42190646766	409.950307341862	464.731892026142	537.14999454403	1016.85375064564	1466.18928075451	1058.75444639676	98.32	UP_pEhEx_DOWN_U2AF84
EHI_165350A	7847.05928751147	4071.42877551857	1.23628842583904	0.98304007175974	0.946616935925125	4234.91097257788	5450.59087562965	2502.8739115476	5447.03405636804	6868.13521535111	10678.0933342117	4271.30150278538	5474.43815406527	2441.9100548873	5453.20764148676	6956.08249120958	11090.0881420237	98.3	UP_pEhEx_DOWN_U2AF84
EHI_170340A	66995.0025299396	44833.6583287838	1.22075778221702	0.981772201494656	0.57947125726248	44672.2360236121	53989.8721082084	35670.0229113833	49311.4457741947	68364.1990865457	79548.3983449935	45056.1039171713	54226.0871429168	34801.1888267711	49367.3346129028	69239.6106629616	82617.6285963244	98.18	UP_pEhEx_DOWN_U2AF84
EHI_106670A	1930.02446714408	1042.08460701875	1.22030570630949	0.981636994599172	0.889146721804955	891.202328525521	1384.34568310462	845.48857626197	1603.43409304924	1878.88066557708	2205.33494563266	898.86041755436	1390.40243506224	824.894552674388	1605.25140073509	1902.93995256247	2290.42378299803	98.16	UP_pEhEx_DOWN_U2AF84
