EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3
EHI_000670A	24.8961632185847	73.0042820881078	37.5262675098848	19.6905194614105	27.125589632246	28.1498918881189
EHI_000690A	5.53167597922717	1.28684921409306	7.85990424082206	33.1146402575748	83.534042423802	7.5478931871046
EHI_000700A	43.1268919083902	35.496571730817	18.2482496655928	30.2681941327297	31.7152774353037	59.706695161373
EHI_000710A	10.6996597667724	12.8618614307792	4.51189668525028	14.2303178849232	12.9871636724312	33.8729252560309
EHI_000720A	143.77805511223	116.338318593746	117.581318728779	145.287215853654	114.175219183615	136.560963196077
EHI_000730A	1226.5803631913	569.252798728373	746.319083662053	822.094205819317	1193.95563277972	1117.12442448285
EHI_000740A	78.63398010515	122.33542721022	125.104212039942	62.1629096901285	63.1497877691474	45.5110918825601
EHI_000780A	12.6100269185912	14.7065696423126	15.5111336251236	9.14657203354662	14.2001742122135	8.6494068858993
EHI_000790A	99.4680554045825	128.752356049765	98.8839574292934	81.7914231275595	73.7908054104532	92.2679456331605
EHI_000800A	251.814423935959	308.559264039472	231.126359753783	255.685338528654	250.158716484499	298.859372627418
EHI_000900A	24.2275998212242	26.408975329076	22.8978262811127	27.8288784465146	54.9711849256377	43.7946456185445
EHI_001040A	4.67570061679722	32.0858314973195	31.1788931922039	19.1671568959621	12.436825987178	6.88692380641728
EHI_001050A	567.09748903352	421.392467532174	330.320409338656	516.723956001344	525.885279498065	745.163740494605
EHI_001060A	7.84453005556538	7.7585985419298	32.8410415843276	28.432186321336	32.5714243123448	7.53709276828734
EHI_001070A	227.139216157472	155.610910246049	44.5958096753883	218.059342313019	253.566551131368	841.548197180861
EHI_001100A	61.6733029680894	92.3964981784991	89.3719592751345	47.2030747240272	56.4875931246653	48.2084928674953
EHI_001120A	71.3183766787572	17.1224782151858	16.5274843133074	42.7082132301177	57.8111555768841	95.5183374400067
EHI_001130A	437.8243633394	668.28204456531	1193.8547648356	293.529503883292	551.90200071079	147.81067191258
EHI_001140A	13.6683959973906	13.4083846867844	37.2532976050956	26.5274589877099	22.5551570012695	8.34428005751961
EHI_001150A	48.5557861157736	52.1825366702254	39.8312374684207	49.416420780705	32.7973821983797	45.9885224666396
EHI_001180A	33.1113667317666	48.1065565809562	69.6351983134455	35.4784200500225	22.8174388487883	19.3316903116883
EHI_001400A	1742.59892180666	1636.83399708645	1207.71001300742	1364.50635054871	1737.64166754536	2034.20618227205
EHI_001410A	17.4525910575433	14.8207981390659	10.8693975136087	20.7089851880003	13.894657296822	23.8020869493859
EHI_001420A	5142.46228312145	3556.2140274295	2305.44440350778	4167.14315952241	5868.02404324828	8065.41162468077
EHI_001430A	7.70850624338661	8.89092195840947	13.344833479476	7.22770498282423	13.4764655079441	5.72866091325362
EHI_001635A	114.817685810687	15.1399688837858	9.66616529979536	81.5987840220071	50.3575464890216	228.606698486224
EHI_001780A	5375.05483538164	12350.8775716943	5955.1255559657	7432.16977381116	4670.46243306986	8437.89369021998
EHI_001800A	17.3475614646184	34.8999555293037	22.2482332461705	19.952676265458	5.40432579720029	11.8198495032707
EHI_001810A	304.960033905286	319.20671014562	179.36469517434	355.875020415168	299.76698482499	514.21822674043
EHI_001820A	14.9238742068536	9.41355933940853	3.36278253959102	14.1092065087113	13.9424528778761	54.2127885929156
EHI_001830A	30.1950884025917	37.0938689572209	17.0965376138966	43.3504294905395	38.7529155157952	77.5871237647054
EHI_001840A	235.63389937916	193.63326324547	259.391937299422	162.568963320551	192.068280471134	148.00291401196
EHI_001850A	259.302920849869	168.495471142163	153.791804179077	195.434641027051	174.004970361743	249.428463398469
EHI_001870A	18.5615815413439	9.67964822220314	13.8818326564463	15.6085606595038	7.37604223314568	10.4315730014468
EHI_001910A	32.6044050212043	40.4940308164122	48.8752411445853	29.4371399300935	20.2282764656728	19.1047123634186
EHI_001930A	12.8338347707733	26.3848429598651	23.7413949363576	14.7769145231751	11.2403780316815	10.8829105915959
