pEhEx_mean	CmasM_mean	theta	prob	log2FC	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	CmasM_1.1	CmasM_2.1	CmasM_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	DE	Regulation
EHI_110570A	688.2199962918	213.984279385125	1.22486529567092	0.978054614603266	1.6853649991368	181.060652242528	275.659994364559	183.147766099656	454.164321890777	813.019486141429	789.108789732237	183.089882258751	277.239121194904	176.583380835123	457.761512840775	817.992581511018	811.367769677075	97.81	UP_pEhEx_DOWN_CmasM
EHI_119540A	7734.09256612659	2112.5383858848	2.45983174288699	0.999999999999992	1.87225447541161	1620.47301168713	2901.08244206518	1796.52537290655	5246.9103073798	8995.95709483622	8865.28177143196	1638.63439813453	2917.70138284354	1732.13428074958	5288.4682575829	9050.98376189149	9115.3513837887	100	UP_pEhEx_DOWN_CmasM
EHI_138790A	91.8528010825302	19.9975931913955	0.995683327753611	0.963284606466913	2.19949734247449	24.4817614373619	21.9691151157265	13.4620236904496	65.232309886876	73.6954591454645	134.46838325553	24.7561397992169	22.0949658732808	12.9795176144743	65.7489798749447	74.1462411413247	138.261433193696	96.33	UP_pEhEx_DOWN_CmasM
EHI_140640A	74.8235250787987	4.56218028447884	1.37069801293832	0.982077624366801	4.03569657147917	2.99596293419036	2.99596293419036	7.51318708106086	57.623967591191	137.200660386543	30.6900571163156	3.0295400689143	3.01312540081163	7.24389930532159	58.0803759983047	138.039892385903	31.5557544380877	98.21	UP_pEhEx_DOWN_CmasM
EHI_142900A	43.7304442904316	10.636820942672	1.23586477811445	0.979879810909509	2.03957097307992	11.1228533552742	10.1214335155806	10.5007917755727	44.3569427968556	40.8116192715321	45.6313875450274	11.2475122892558	10.1794144615022	10.1244222229133	44.7082702470924	41.0612566766427	46.9185461135748	97.99	UP_pEhEx_DOWN_CmasM
EHI_148190A	3057.20126681977	829.635248619084	1.93232614630901	0.997722011094693	1.88166243709255	645.299060715055	1128.58865147496	707.248159720259	1918.56224645827	3820.48826505959	3399.29674103595	652.531224121212	1135.05380658053	681.89895947116	1933.75814454475	3843.8575112147	3495.18323852503	99.77	UP_pEhEx_DOWN_CmasM
EHI_163670A	5506.6336668643	1866.51739933633	2.08401940151809	0.999999999999997	1.5608216780139	1837.47574303166	2075.48782497293	1664.8746553819	3646.89039477551	6830.97723844554	5986.73098992471	1858.06917890887	2087.37732137237	1605.2021904219	3675.77544913008	6872.76110937772	6155.6031743102	100	UP_pEhEx_DOWN_CmasM
EHI_169350A	5646.89508700536	662.109613150553	1.96285023647036	0.999892415887861	3.09231584585654	512.097561628408	709.768002923753	751.029942685854	2211.47796509606	10461.0828523097	4279.73731333005	517.836874562612	713.833930949765	724.1115150469	2228.99389080561	10525.0714326334	4400.45905444627	99.99	UP_pEhEx_DOWN_CmasM
EHI_172280A	148.079274127477	20.513171176251	1.14159424805686	0.973354361256326	2.85174728479397	8.3943267749325	32.9323995974697	19.9519055657425	92.2708648045746	236.320665359158	115.778861040682	8.48840585642647	33.1210538703245	19.2367890361539	93.0016926213474	237.766196772204	119.04472169193	97.34	UP_pEhEx_DOWN_CmasM
EHI_176820A	2879.04173269939	772.358463577251	1.75374944689444	0.9659635006799	1.89824621616857	850.978882078659	896.640458885119	564.959884054129	1495.27171841138	3387.53140791042	3705.43660627446	860.516193854012	901.776891573011	544.71058253702	1507.11496023818	3408.25233409507	3809.95861918211	96.6	UP_pEhEx_DOWN_CmasM
