pEhEx_mean	CmasM_mean	theta	prob	log2FC	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	CmasM_1	CmasM_2	CmasM_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_158270A	3392.51334917684	7248.94212415125	-2.72078395050598	0.999999999999989	-1.09541597798753	7684.76485152531	6284.13497425489	7645.84172984025	3401.9430729222	3590.7208284047	3167.83470750182	7770.8915461505	6320.1338364265	7371.79934398335	3428.8880314856	3612.68462807939	3257.19218284659	100	DOWN_pEhEx_UP_CmasM
EHI_044550A	66480.664771055	123277.988942889	-3.33762518059379	0.99999999999997	-0.890908518729656	141774.465380321	110581.032922061	115747.056590552	63738.2892002331	65803.2273950229	69312.4423238098	143363.397029028	111214.499800042	111598.448672055	64243.1258552238	66205.7340151475	71267.5900596967	100	DOWN_pEhEx_UP_CmasM
EHI_195110A	6.26906752154244	1106.47625364733	-1.93997382058617	0.999999996890346	-7.46350590557744	3313.25874441819	3.19424255995371	19.7322824711033	3.19424255995371	3.19424255995371	12.1662432815197	3350.39195924104	3.21254087756298	19.0250376761085	3.21954243463547	3.21378117268689	12.5094255761932	100	DOWN_pEhEx_UP_CmasM
EHI_141800A	3352.28430276348	1250.06805064718	2.02499141825203	0.999999992779102	1.42313787345482	995.521691692849	1581.17485326939	1158.12840275164	2663.73940978504	3705.26916765611	3653.27976496031	1006.67896122416	1590.23266247387	1116.61874536755	2684.83745477928	3727.93363911694	3756.33055095995	100	UP_pEhEx_DOWN_CmasM
EHI_109920A	13376.523240409	19069.3737867896	-1.92807561224443	0.999999970741256	-0.511554281655677	20809.3112237228	16585.8390752736	19487.6817880342	13618.9972421271	13788.8036370368	12648.6684490079	21042.5307467341	16680.8515690086	18789.2039747714	13726.8659831667	13873.1472926175	13005.4588700484	100	DOWN_pEhEx_UP_CmasM
EHI_092120A	15635.6602428545	23684.8448725606	-1.61240395186034	0.999999898267626	-0.599124081955071	26350.7388828801	18718.6060096345	25527.9964770378	15159.4950881378	17497.9111030149	14186.4702213814	26646.0637346826	18825.8361249242	24613.021604695	15279.565282799	17604.9427082435	14586.6385635094	100	DOWN_pEhEx_UP_CmasM
EHI_119590A	89323.4747625434	165235.681659209	-1.91362479397284	0.999999642470261	-0.887413982299234	206915.274602482	119508.432199929	166463.097326948	90286.2505912657	90730.3775014749	86397.5532197836	209234.269264425	120193.039961656	160496.72423678	91001.3593479026	91285.3590584055	88834.6334163618	100	DOWN_pEhEx_UP_CmasM
EHI_013900A	14919.6374199413	38073.1545330231	-1.90919455157122	0.999999267452588	-1.35156163330925	34867.3143883481	26618.5646568711	51614.6925310653	18809.0363720313	16202.1126366398	9814.52415016365	35258.0884194012	26771.0499303756	49764.717866892	18958.0126173118	16301.2180734765	10091.3697499963	100	DOWN_pEhEx_UP_CmasM
EHI_148850A	10487.1835141934	13882.6633561795	-1.62840412221384	0.999998568860428	-0.404657098927396	13730.8208308424	12905.942795375	14757.3308783531	11323.5640628485	10581.5288244753	9512.6918295898	13884.7084559682	12979.8748890981	14228.3983807054	11413.2519141509	10646.2541513552	9781.02342012767	100	DOWN_pEhEx_UP_CmasM
EHI_038860A	74344.4401438538	108179.107124869	-1.6312398717683	0.999997782916518	-0.54112513578168	122733.975385637	86598.7895279747	113238.282528591	69244.422266545	84129.2043443216	69297.6538781564	124109.511504491	87094.8733806	109179.594131555	69792.8700355773	84643.8077009492	71252.3844653314	100	DOWN_pEhEx_UP_CmasM
