UmasM_1	UmasM_2	UmasM_3	pEhEx_1	pEhEx_2	pEhEx_3
EHI_000790A	94.8451225894213	115.456414543251	88.7949418532405	98.7306286311611	86.7288255185987	118.740993055511
EHI_000800A	539.589832186591	262.587650628047	437.38530520232	357.589026948088	340.893316844758	314.944732197673
EHI_000900A	19.9198363426963	49.1344628789134	33.977972916045	36.2103081824242	70.3448106043999	49.7139328805817
EHI_001040A	12.3138612257082	31.0305958145403	17.4659158460485	14.9125439937838	9.29770059702645	14.7887140107479
EHI_001050A	685.685329533314	805.392175715256	993.009339663052	827.529583766222	820.680502908174	649.47227196096
EHI_001060A	14.916523112708	27.6922449682305	39.0864485778645	24.7297667355393	27.6267047964119	14.3135374439302
EHI_001070A	303.409850299014	420.866215809658	238.053439612469	402.27099973355	455.960071661284	599.248879554423
EHI_001100A	79.6559264526472	87.4790374984385	97.5931220098039	56.98616819124	66.6029754672137	61.1548484189404
EHI_001120A	48.5935824147245	54.4882524526119	79.3386508258522	83.0473115049022	109.937311455781	62.2605668559989
EHI_001130A	736.742968513466	301.925232179428	873.888866319324	335.442160298221	614.753735605694	206.168973938363
EHI_001140A	14.7566756026244	36.0830968720705	24.4727389637993	21.8526056551177	18.1187809640513	16.9542949993264
EHI_001150A	66.5951345445011	52.7862058473295	39.8417617404853	56.455669881838	36.4158079640348	63.5089680039994
EHI_001180A	56.1638316032145	19.1157615835011	41.6198362152004	37.9174189641239	23.4001431271017	28.3397544256737
EHI_001400A	2351.66308168873	1406.20580404165	2026.62043337405	1991.45914312464	2471.40606629966	2023.72892231762
EHI_001410A	25.3205799900426	24.2812370178169	18.210059032978	25.9601418724466	16.8140935333145	28.2274406079107
EHI_001420A	5527.13136292908	5281.90275821007	4826.32739526774	6230.40854896234	8549.4776412072	7757.61678414019
EHI_001430A	9.35774794414197	10.6993627550992	12.5733625908208	7.61281021037164	14.0139265817354	7.82891425101709
EHI_001635A	41.8431560755307	52.3416601183473	10.5847312238772	98.3437675743753	59.0437297541627	295.330124887188
EHI_001780A	13514.8466960175	7442.50654492708	7346.7637605929	9128.30461916163	5589.49329189115	10718.5922031494
EHI_001790A	15.6130987324578	17.3209486842323	17.640423559193	15.2000624379163	6.98237549482438	10.3604644682599
EHI_001800A	43.0453149501423	11.3120809165939	18.7210477751662	23.732270463076	5.73137360060494	14.7468015479306
EHI_001810A	427.897895758118	452.618236565591	326.778863358928	482.451351357206	395.914309314186	566.902538383807
EHI_001820A	13.4885897749413	33.9735151007619	37.3155790581079	37.439046924446	35.9959369869177	21.9233353787419
EHI_001830A	39.9359941636694	81.2808615005521	32.7350997591674	55.6122153125804	48.3826390998649	91.1347807252885
EHI_001840A	247.387151082389	137.81753337193	292.451744683333	220.810272214547	254.331235444103	162.147399919812
EHI_001850A	216.52444486801	290.647144783574	258.68194231459	273.233903581071	236.966174101542	262.696717412447
EHI_001860A	43.7597286978648	16.5154273857983	16.7218590806497	17.1226376746305	3.09408326969275	11.7579203194623
EHI_001870A	13.6734375151768	13.3357401988333	9.41936314990552	15.9341032877676	7.15365973024992	16.0067076702468
EHI_001910A	33.9594622991211	48.3023567670742	31.4786487309942	28.7820858623662	19.1643822494572	32.1726957186992
EHI_001920A	16.1786834373357	13.0274380865925	12.7316110084293	11.2811422316252	9.26427557580161	12.2693809514892
EHI_001940A	631.25191319865	2769.13514154205	2930.92742338409	1917.50618550147	2830.99401692461	1156.58124785355
EHI_001950A	74.1034315618222	102.934675434242	69.0747417471964	103.145654307969	126.275017726537	127.259351144381
EHI_001990A	56.8779769776071	36.0781298539751	24.1171325278553	61.7738801177335	16.0003622729294	62.2491863060904
EHI_002110A	122.295142148207	96.7927801851306	152.249884897952	132.668445209606	81.4745158814245	71.8041010757864
EHI_002130A	90.150798084446	107.094872085581	62.3496785991155	122.908103137322	99.5767138995234	166.962970032419
EHI_002140A	643.366206423623	364.501862730027	583.845841949216	421.077581200209	422.790039141215	373.235819287012
EHI_002150A	27.9491586610564	29.2183416040394	36.7384171523272	28.2275154675594	24.605098610073	20.5324738825112
