U2AF84_1	U2AF84_2	U2AF84_3	pEhEx_1	pEhEx_2	pEhEx_3
EHI_000690A	1.26187070687733	7.03661148767996	7.86196016164297	32.3745860638863	79.7852108338838	8.36915155484834
EHI_000700A	39.1320222999367	37.1125738024871	15.5008873410735	28.9430701175765	29.6564661678046	66.7927733568766
EHI_000710A	16.9006175307165	14.1309605763322	9.31874715314093	17.7164804725553	15.7989347772487	25.8517852957014
EHI_000720A	135.276856682571	152.241345341211	128.236631107068	145.759789090322	111.936451444316	142.479088403683
EHI_000730A	667.196276656639	809.830364458887	991.429991767449	975.602350015747	1384.31982450704	918.956675759484
EHI_000740A	80.1413549055355	78.4140722196181	84.0465171308824	58.4456273409769	58.0366337620266	52.072387141242
EHI_000770A	25.2162054209619	18.6584942002902	18.594900148122	14.0016393291556	11.6128491342112	16.2724482365784
EHI_000780A	11.3692016751575	14.9164591368281	18.3193567155895	10.0312826797168	15.3081681870865	8.06860068952801
EHI_000790A	79.7158309230598	96.442080555841	73.7065484432521	81.3401926315582	71.740485904888	97.4364937274259
EHI_000800A	307.550742607091	279.49784549694	329.771602417495	290.958609916799	278.134895927095	260.889808974977
EHI_000900A	17.0527898654335	20.3916181739166	19.0595015648327	29.4817716131686	57.0271535193313	42.2341002020971
EHI_001040A	12.7241217069848	36.9361051682073	60.939839498185	19.5407749620903	12.4521117062714	7.03328859592979
EHI_001050A	574.239698973994	494.885165475902	413.756313757315	551.020360767603	547.879471576974	713.05840590621
EHI_001060A	10.7627217508232	15.7762598406504	39.6256417865481	24.9124948921771	27.9190277145516	9.39096258758556
EHI_001070A	226.762692825865	322.977569703915	141.901057454019	301.700534676901	342.81284771143	556.659815182217
EHI_001100A	63.4756882149137	51.8327683439239	76.5110660622213	49.9071259037448	58.4400921187937	46.6566304855123
EHI_001120A	29.4135124897564	53.5906304499795	29.5405074868532	51.6689584038931	68.4371860917407	76.2943483274663
EHI_001130A	522.316973987118	550.414129745731	1870.60473695075	354.618361559901	651.575866310368	118.853768636932
EHI_001140A	11.1031058754844	13.8440914785707	16.5864335512882	20.2966021991206	16.92678488263	12.5830024021667
EHI_001150A	52.2379905974783	48.7403683802279	33.5286422490983	46.6137313411143	30.2704757522626	52.4062180799936
EHI_001180A	44.9961029076322	15.4701395784069	57.101620446089	39.0617741241754	24.5897326102696	17.7212101627588
EHI_001400A	1638.04689896538	1508.03732805607	988.307490333671	1310.58645055017	1630.45939358765	2256.97800584493
EHI_001410A	20.5104724750942	19.7694979784899	12.3849745335563	20.1990409124714	13.279040146018	25.8762016336689
EHI_001420A	4075.84624923007	5180.3301788341	2724.0878028655	4368.41797846062	6009.42445578449	7907.05910587245
EHI_001430A	6.78464191031761	8.27807044058946	11.0157644141261	7.08021243438544	12.9254239364965	6.22660094010107
EHI_001635A	59.3550719849426	94.3231407736088	11.4443192308045	70.1175460009025	42.3497398102682	297.792345257969
EHI_001780A	10110.0130260661	6542.8019273727	7398.44249796687	8177.65836394079	5020.24894682381	7724.73842302777
EHI_001800A	21.0282273012287	23.6725054497476	25.6539573290451	22.0710621787253	5.79575734688561	10.8031575731865
EHI_001810A	362.008600801931	329.78946746866	263.555744599566	401.626603789401	330.501907070126	454.172638323505
EHI_001820A	13.2608538373295	1.761508205413	2.43059329417244	19.0191475457229	18.3862238831809	36.6111895420722
EHI_001830A	30.040702606936	32.170238520904	15.9997803514918	43.8983785226856	38.3715363929477	79.8678026693934
EHI_001840A	166.027518672906	198.142771702362	320.740655954605	190.14363467205	219.545673430489	124.327803741031
EHI_001850A	186.892740769547	190.930288002462	157.169513232103	207.110219015015	180.17803832773	240.78377788771
EHI_001860A	34.747526840372	3.61373602990711	11.6132487350578	17.6010865912604	3.6440669195608	7.71396728490267
EHI_001870A	13.8465144045818	13.9080654323645	19.2084231968687	17.609839774983	8.09476732968209	9.29416337717047
EHI_001910A	53.0699276674352	26.2152762575327	39.6686100150892	27.1479453132935	18.2948708780831	22.4114557599391
EHI_001920A	14.2113493851223	12.6005350826586	15.7223479474912	10.7752232512785	8.98217055992485	8.90362177432013
EHI_001940A	768.602342772217	1124.46527190912	3124.34733841994	1857.61937045909	2749.36114322321	746.808784707508
EHI_001950A	69.1380696696645	84.68646942794	62.0467782770073	86.197033593376	105.768563446262	102.527658955915
EHI_001990A	48.4622530861397	31.6484427956177	30.3850521905887	59.321903195165	15.6920576331468	41.4470792599107
EHI_002110A	95.9181875568652	105.025914489728	112.094827939176	100.416575798705	61.9905730840016	66.4545175221115
EHI_002130A	87.9840674254587	90.0404167967432	63.2495874743024	106.130722808584	86.2811703190629	127.752525767625
EHI_002140A	416.306095673704	381.136628067838	444.470824707139	336.611245139082	338.875633490425	316.861710549868
EHI_002150A	30.1005382429348	23.226875834904	53.139087323188	28.0637007562091	24.5903978711437	13.4708396097766
EHI_002160A	911.402798975564	852.599649069728	399.820213308876	769.719445464671	951.422605987885	1751.71851490352
EHI_002180A	406.692350148296	345.654369311185	168.38818446978	317.934000641857	190.180964286585	509.418942776862
EHI_002190A	41.7970629094132	124.697659528666	348.491302550918	53.910725574385	157.45396365559	17.4807045889735
