pEhEx_mean	EhMyb10_mean	theta	prob	log2FC	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	DE	Regulation
EHI_005970A	12522.2395738759	26215.3703309504	-2.05515706246258	0.999842693577981	-1.06592031815195	19568.738991606	24845.4204820299	31425.0130713755	14103.7932700502	13577.5045741809	10450.2920415603	19761.361487045	25378.9437798234	31964.7785241273	14182.7571994385	13851.8714247718	10207.8234647008	99.98	DOWN_pEhEx_UP_EhMyb10
EHI_176140A	294806.437104037	600500.104840345	-1.35602633162064	0.998912728484462	-1.02639647175878	444213.925346408	463140.670258546	826511.668888883	235405.357480302	467003.660139377	199134.823466358	448586.490939198	473086.017648315	840708.081286521	236723.338513474	476440.616889921	194514.48012504	99.89	DOWN_pEhEx_UP_EhMyb10
EHI_183460A	1207.28135645663	3025.24821323935	-1.35036701256544	0.998771007092443	-1.32529158157454	2697.0315964672	1797.55848407383	4255.35018700215	1255.61746831761	1620.55759393455	809.204266441155	2723.57949802653	1836.1587295836	4328.44135851853	1262.64738482366	1653.30494311199	790.429039290343	99.88	DOWN_pEhEx_UP_EhMyb10
EHI_012480A	7054.88190135259	3480.38808129342	1.58910311144332	0.997524369230655	1.01937374931397	3596.38849346347	4105.06563620014	2456.61966151966	6072.5484422518	5874.47269342555	9459.86522775654	3631.78910494264	4193.21661587338	2498.81529786919	6106.54725925227	5993.18085242278	9240.37661921482	99.75	UP_pEhEx_DOWN_EhMyb10
EHI_007510A	6490.46252780267	16959.1939928563	-2.21394223457879	0.99445442584774	-1.38567440829762	11671.9443995748	20672.9392862302	16784.6006307727	8554.60722870722	5644.14318581847	5532.49928960327	11786.8357606296	21116.8639423274	17072.897966979	8602.50252809357	5758.19697101269	5404.13376413361	99.45	DOWN_pEhEx_UP_EhMyb10
EHI_017750A	1165.940463167	392.061241754076	1.57518352289939	0.993770572238986	1.57234318896773	316.81995379407	355.040413659989	463.467709396224	1048.32162795703	1525.09256799948	982.852545183807	319.938532366295	362.664447734312	471.42836982395	1054.19094222031	1555.91081169481	960.048315699531	99.38	UP_pEhEx_DOWN_EhMyb10
EHI_049000A	4189.07920413472	1366.12888227885	1.57396322793666	0.99331226305555	1.61653956624261	2724.99042277381	184.755740681268	1123.28432841986	4123.96975323765	5653.07123531879	3009.33326659743	2751.81353362972	188.723131457603	1142.57819705633	4147.05892153152	5767.30543369645	2939.51045671366	99.33	UP_pEhEx_DOWN_EhMyb10
EHI_155680A	468.793895704561	107.098011977231	1.22421019409264	0.992680509196542	2.13002208405435	82.3262365782478	72.2431079168702	154.567962038048	415.603552374383	738.267493658749	280.007049756566	83.1366048465664	73.7944353015906	157.222867728012	417.930422099063	753.186002875382	273.510302048933	99.27	UP_pEhEx_DOWN_EhMyb10
EHI_186720A	10120.180184752	4326.59290662551	1.57073546608798	0.991987169829192	1.22593168905994	7216.8826326305	1163.2869353383	4315.65876460746	10139.1759502726	13131.1988893699	7604.25568864368	7287.92113657212	1188.26701899077	4389.78581434677	10195.9428893835	13396.5470366731	7427.82109259905	99.2	UP_pEhEx_DOWN_EhMyb10
EHI_048140A	538.00212816326	118.732520806228	1.21448401974652	0.988998438501327	2.17989673673213	116.49933935166	74.7283637896307	153.010055440615	367.323186602945	961.689270466553	319.180099882391	117.64608638899	76.3330588325903	155.638202059453	369.379745545226	981.122565807638	311.774455688662	98.9	UP_pEhEx_DOWN_EhMyb10
EHI_068480A	3365.42599707128	8442.76329615276	-1.52879972999533	0.988599215748817	-1.32692613349153	4646.62040911078	8315.9350889813	11361.0791622188	4690.41702086413	3270.2619432355	2283.99392866383	4692.35885035346	8494.50904856148	11556.2204664982	4716.67759852189	3336.3456234192	2231.0005046297	98.86	DOWN_pEhEx_UP_EhMyb10
EHI_103400A	9.14655158218729	63.6259773283781	-1.31124265948094	0.988042418090196	-2.79831608340112	38.2765316597635	92.9376635113193	53.1852496379153	9.13571948814648	8.45409076598016	10.203511619894	38.6533020305175	94.9333797344217	54.0987754425131	9.18686830284907	8.62492644829564	9.96676886365273	98.8	DOWN_pEhEx_UP_EhMyb10
EHI_058080A	2051.88517604447	992.556281155467	1.20982618224997	0.986219526524736	1.04772918449662	1548.0718408386	555.956567197671	809.742359937207	1605.285423419	2435.17959846715	2207.62009793166	1563.31009718353	567.895016030759	823.650737653106	1614.27305124336	2484.38838741687	2156.39870610231	98.62	UP_pEhEx_DOWN_EhMyb10
EHI_177460A	80.5625923551729	11.129112328417	0.986233494954104	0.985800345514188	2.85577158119751	18.5206907739581	10.3296225909518	4.01629802697694	56.3922218311426	31.0343635274478	155.731031075297	18.7029969345985	10.5514378874035	4.0852831668715	56.7079490498746	31.6614891185017	152.117746266842	98.58	UP_pEhEx_DOWN_EhMyb10
EHI_035440A	7770.82439539731	3679.12511903213	1.00524582615805	0.985562317231417	1.07870492009818	5333.41215939291	3913.58146186508	1580.34998712502	4668.84881559483	5547.10216368565	13313.5069241508	5385.91095146059	3997.62056634424	1607.49455264579	4694.98863777885	5659.19499652112	13004.60578875	98.56	UP_pEhEx_DOWN_EhMyb10
EHI_134840A	92.0241947501787	24.9502998850323	1.01385037867254	0.984927843031827	1.88295606464033	27.590481431594	24.4892751884886	20.7185785514825	57.4339417610196	116.686299835362	106.196534953467	27.8620649703185	25.0151507263402	21.0744470727402	57.7555013326095	119.044233314082	103.732553794359	98.49	UP_pEhEx_DOWN_EhMyb10
EHI_066770A	628.687443677857	202.549813222527	1.01640939858448	0.984643772079685	1.63406619482262	410.035123686753	75.1557767758531	114.55057704913	512.554362699614	611.519141980519	786.148210837936	414.071254414239	76.7696499603577	116.518132128374	515.424037951436	623.876389230526	767.907932276874	98.46	UP_pEhEx_DOWN_EhMyb10
EHI_174180A	628.687443677857	202.549813222527	1.01640939858448	0.984643772079685	1.63406619482262	410.035123686753	75.1557767758531	114.55057704913	512.554362699614	611.519141980519	786.148210837936	414.071254414239	76.7696499603577	116.518132128374	515.424037951436	623.876389230526	767.907932276874	98.46	UP_pEhEx_DOWN_EhMyb10
EHI_103310A	1245.24877376402	323.212752030753	1.55674985044269	0.984489590091361	1.9458779659513	570.401906443898	104.182856368057	276.415503629381	1073.32886186411	1660.68702885195	1064.72816548653	576.016588037307	106.420048575902	281.163299250826	1079.33818593997	1694.24529189167	1040.02425080156	98.45	UP_pEhEx_DOWN_EhMyb10
EHI_050740A	442.030748565623	191.536894896211	1.01773904694539	0.984475714923472	1.20652441111563	234.066679366954	145.906277564442	179.137697558759	456.546597886055	433.192016718331	454.39210919486	236.370686175881	149.039426324442	182.214620397521	459.102698406508	441.945726111598	443.849264304545	98.45	UP_pEhEx_DOWN_EhMyb10
EHI_100350A	47.074716683926	5.81874719767506	1.01818207173694	0.984416531319855	3.01617193912252	3.66134475170012	10.5782296435622	2.69507247183644	20.3922067785997	41.8416076114739	80.4941865022622	3.69738475218445	10.8053834552005	2.74136384519738	20.5063781043774	42.6871201311936	78.6265534476981	98.44	UP_pEhEx_DOWN_EhMyb10
EHI_152080A	6290.91724413123	2822.3484491622	1.55654560126117	0.984360393602446	1.15637426879547	4535.54688983311	1781.05144871508	1983.40725382695	4542.81293824425	6813.93275130366	7774.51167306311	4580.19199243656	1819.29722697211	2017.47485188718	4568.24711422877	6951.62500976686	7594.12678299035	98.44	UP_pEhEx_DOWN_EhMyb10
EHI_088600A	15.4399932448862	514.647285380863	-1.30450886647224	0.984143731661255	-5.05883999029897	1539.81913293026	4.05716099307436	7.5788569501541	4.05716099307436	4.05716099307436	38.3595667078613	1554.97615475149	4.14428328244234	7.70903367096402	4.07987611432153	4.13914590259352	37.4695447341584	98.41	DOWN_pEhEx_UP_EhMyb10
EHI_004860A	365.665219552321	153.279501458892	0.962082860595117	0.984100634548251	1.25435863664255	186.623728748039	139.535279177989	121.889201773431	347.501550183773	332.106123660349	431.161918549116	188.460736659228	142.531618980708	123.982807272699	349.447132293893	338.817144136374	421.158062544819	98.41	UP_pEhEx_DOWN_EhMyb10
EHI_006810A	903.940825828337	389.376183920315	1.02257009517152	0.983736223600981	1.21506368865545	474.180690748904	410.055159703015	255.558639233701	619.053843769277	832.99914852746	1291.84527047264	478.848230541848	418.860564354558	259.948191094739	622.519785383067	849.831943661332	1261.8717651382	98.37	UP_pEhEx_DOWN_EhMyb10
EHI_110720A	1868.11555323978	893.813975722383	0.952935870134659	0.982913720815082	1.06353718836724	1086.07453178306	1069.91496104563	463.977535294512	1255.13208699941	1432.46501556431	2973.42812150947	1096.76517396673	1092.89000221221	471.946952644827	1262.15928596589	1461.41149190352	2904.43838589738	98.29	UP_pEhEx_DOWN_EhMyb10
EHI_105280A	84.8554232093631	11.5061372847116	0.95087926009386	0.982626423957811	2.88260327818488	22.7469576043752	7.32915495498304	4.04551803719509	42.4510285356244	53.0987068593103	161.059579867727	22.9708645070775	7.48653908637461	4.11500506875184	42.6887021852281	54.1716967369305	157.32266161082	98.26	UP_pEhEx_DOWN_EhMyb10
EHI_057850A	475.292545216194	220.36698741699	0.946695463201867	0.982033205880512	1.10890765984183	281.126192875658	167.401543553727	195.510885639647	456.306651227031	497.966414956515	491.703000189093	283.893424265897	170.996275373102	198.869039269225	458.861408340738	508.029050268122	480.294464789388	98.2	UP_pEhEx_DOWN_EhMyb10
EHI_202460A	321.457878048641	104.196611113285	0.945381361673525	0.981845921245221	1.62532135143772	125.006044066021	66.8199244878787	111.813917589658	225.718700507076	510.366247645746	246.693409473855	126.236525813633	68.2547960166932	113.734466984964	226.982448151925	520.679452053037	240.969607720003	98.18	UP_pEhEx_DOWN_EhMyb10
EHI_023230A	90757.7139774056	226321.070745874	-1.59268461375041	0.981486051937348	-1.31827873168341	131894.650345566	197833.241582953	322063.720493658	114605.598718147	103361.583570822	58682.652514035	133192.939248879	202081.454791455	327595.583583494	115247.249388389	105450.258408048	57321.0925514204	98.15	DOWN_pEhEx_UP_EhMyb10
EHI_181610A	63.43712345098	259.526910338557	-1.30003514049344	0.981319350616678	-2.03248488055241	182.362625925036	321.948879889972	247.928395171419	68.2051965842228	63.3671499056233	61.3930820511376	184.15769019032	328.862316039868	252.186887671192	68.5870619607119	64.6476389126821	59.9686344687393	98.13	DOWN_pEhEx_UP_EhMyb10
EHI_095830A	309.475632463258	96.4237795915962	0.940932947121975	0.981213989502745	1.68236493248169	118.92301595336	35.8432058353441	125.684956508061	332.801225877835	413.547880665539	198.411633081882	120.0936201557	36.6128923614625	127.843759029466	334.664504217029	421.904632008677	193.80806926621	98.12	UP_pEhEx_DOWN_EhMyb10
EHI_139570.mRNA	1052.80185608409	503.156925028336	0.938085052728687	0.98081350015639	1.06515361331869	771.560720645035	366.386649162347	340.705082746837	669.595935339189	1300.48070711016	1235.89033818315	779.155484490428	374.254328981653	346.557135467578	673.344850623497	1326.7601161072	1207.21510401152	98.08	UP_pEhEx_DOWN_EhMyb10
EHI_151390A	496.035280023451	241.883107420685	0.937691485508354	0.980758366494628	1.03613271631649	264.791811955392	235.859013270619	204.876530619151	483.072901890249	449.169627712309	574.619548530448	267.398257859369	240.923780786447	208.395551376809	485.777517151114	458.246204005339	561.287176227959	98.08	UP_pEhEx_DOWN_EhMyb10
EHI_000690A	39.8677281777271	4.99471670669992	0.935737277738576	0.980485810364522	2.99674663933682	5.47775635269853	1.25979670779405	7.72717988085409	32.9302711621833	81.8794665593481	7.72717988085409	5.53167597922717	1.28684921409306	7.85990424082206	33.1146402575748	83.534042423802	7.5478931871046	98.05	UP_pEhEx_DOWN_EhMyb10
EHI_126980A	89.4259234248865	12.9272467462136	1.20214360577602	0.980404108030228	2.79027806907757	8.45015319900203	16.3986245515707	12.5893881108004	46.8441957286778	148.503551332222	78.1045114686873	8.5333312513401	16.7507638223212	12.805627218102	47.1064657217885	151.504430577593	76.2923238602642	98.04	UP_pEhEx_DOWN_EhMyb10
EHI_186950A	261.840927317272	114.339256045782	0.931942770319667	0.979959069361882	1.19536980840511	123.180635015172	95.6132878348063	114.120403919585	254.851991146971	285.268688716682	256.863210976008	124.39314857144	97.6664596326193	116.080570216094	256.27884945722	291.033243703041	250.903448610973	98	UP_pEhEx_DOWN_EhMyb10
EHI_201200A	247.318807213978	100.973991537189	0.930707421347565	0.979787432947206	1.2923882153901	108.738076822423	83.9006351409713	101.34238747487	216.207109748281	298.157619218698	239.106641364292	109.808426818698	85.7022928581253	103.083074727222	217.417604160707	304.182626724148	233.558868458168	97.98	UP_pEhEx_DOWN_EhMyb10
EHI_036630A	102.910229578358	10.4403284201894	0.923583318432565	0.97877566048984	3.30114739705093	1.85079265405886	26.1730442071569	2.25673650595215	44.6899014106675	69.1838650485785	197.422980550869	1.86901070580547	26.7350765087957	2.29549888925204	44.9401100000727	70.5818950813712	192.842355536453	97.88	UP_pEhEx_DOWN_EhMyb10
EHI_057670A	36605.2320436694	92770.8626800198	-1.6016662265985	0.977525883894627	-1.34162188727986	53654.2670963742	82611.3649338396	130925.844455472	35090.81430414	52309.1223846712	24415.7092881342	54182.4063302558	84385.3372393841	133174.66604065	35287.2797889804	53366.1567673477	23849.2138963724	97.75	DOWN_pEhEx_UP_EhMyb10
EHI_106670A	1887.77885726032	892.121402015036	1.04484366005921	0.977424432711666	1.08137781692825	1650.21778556756	405.982774260318	577.176485659836	1553.63253929032	1858.25349148938	2324.85233936954	1666.46150306056	414.700729697112	587.090242143954	1562.33097436937	1895.80407048377	2270.91091496785	97.74	UP_pEhEx_DOWN_EhMyb10
EHI_167060A	758.059832235186	271.586578937545	0.914930453464473	0.977411996449529	1.48089953477389	283.992004909171	390.916288275435	120.027679383068	449.540939801314	520.383461338633	1324.69142411586	286.787445570615	399.310710395712	122.089310815259	452.057817236196	530.899088168808	1293.95581949295	97.74	UP_pEhEx_DOWN_EhMyb10
EHI_158570A	9339.46597577234	3207.97491954762	0.910545428518475	0.976623762409384	1.54167719736493	3862.93672646754	357.983287554732	5079.18672571093	4844.67290858838	21368.3044805323	2535.33173740396	3900.96107296705	365.670516042948	5166.42836078637	4871.79712986263	21800.1035913896	2476.50675186382	97.66	UP_pEhEx_DOWN_EhMyb10
EHI_110360A	651.600204747441	324.71699232247	0.908924508005607	0.976313325616286	1.00480417488295	302.06370006112	389.745563604358	253.905368987929	520.661213861057	671.599415705762	788.701126084157	305.037027249565	398.114845925219	258.266523783206	523.576277527926	685.170732551148	770.401614563467	97.63	UP_pEhEx_DOWN_EhMyb10
EHI_172280A	133.493559671653	25.9912495019546	0.908594064226613	0.976249022965508	2.36067224487408	19.2811518908179	13.7981811550422	41.7896785866756	96.9273219769905	252.783390658804	59.7686462957789	19.4709435577077	14.0944792643342	42.5074706439598	97.4699959982158	257.891500355827	58.3818890118177	97.62	UP_pEhEx_DOWN_EhMyb10
EHI_067520A	2727.64951244455	1323.52051732338	1.04859008311379	0.975988691606445	1.04327771832402	2458.52426754536	354.134393364272	1087.62486600422	2303.28251624838	3570.01703797468	2444.97870243985	2482.7244513035	361.73897182357	1106.30623701557	2316.17807097553	3642.15800658298	2388.2500958062	97.6	UP_pEhEx_DOWN_EhMyb10
EHI_111050A	1331.49328647082	606.604959100737	1.05022585048033	0.9753470228353	1.13421595694166	1007.27711028497	371.118473218859	407.331276582083	950.73525858183	1467.36179928185	1631.80645448991	1017.19211966115	379.087762844971	414.327720797553	956.058208967457	1497.01345090507	1593.94514045613	97.53	UP_pEhEx_DOWN_EhMyb10
EHI_025230A	797.044003345141	329.101801580026	0.903461545020282	0.975184895912288	1.27612545084228	639.321984958957	112.422070695825	220.648160367283	606.854695205987	930.07870184294	889.423775635004	645.615072938957	114.836189384048	224.438079369353	610.252336562725	948.87322795281	868.787288516218	97.52	UP_pEhEx_DOWN_EhMyb10
EHI_160740A	797.044003345141	329.101801580026	0.903461545020282	0.975184895912288	1.27612545084228	639.321984958957	112.422070695825	220.648160367283	606.854695205987	930.07870184294	889.423775635004	645.615072938957	114.836189384048	224.438079369353	610.252336562725	948.87322795281	868.787288516218	97.52	UP_pEhEx_DOWN_EhMyb10
EHI_014110A	5012.7248519801	2154.05262555798	1.19615926517019	0.975086610923657	1.21854155016435	4789.27275854507	318.905977687098	1284.39188500838	4559.93092368432	6100.73980999538	4614.51059682222	4836.4153807899	325.754071444447	1306.45298537284	4585.46093937435	6224.0202522002	4507.44432414153	97.51	UP_pEhEx_DOWN_EhMyb10
EHI_009490A	119.859007414113	12.7830851396091	1.05098158047042	0.975048950666188	3.22903036038568	25.18638420234	8.81449350776533	3.92138647265216	55.4856669932682	61.973627495039	244.537013631196	25.4343033032193	9.00377336511547	3.98874138321395	55.7963186177375	63.2259569568049	238.863244759587	97.5	UP_pEhEx_DOWN_EhMyb10
EHI_005020A	1054.90476700582	522.054750841401	1.05277020523404	0.974340323762242	1.01483974006039	608.891482238579	378.332121240978	534.204746579722	864.981135987468	1392.20284487543	959.987696751861	614.885031276699	386.456314636365	543.380407580875	869.823968552901	1420.33572509987	937.713979452063	97.43	UP_pEhEx_DOWN_EhMyb10
