edgeR	limma	NOISeq	DESeq2
EHI_179990A	1	0	1	0
EHI_180000A	1	0	1	0
EHI_180800A	1	0	0	1
EHI_182950A	1	0	1	0
EHI_187040A	1	0	1	0
EHI_187760A	1	0	1	0
EHI_187800A	1	0	1	0
EHI_188760A	0	0	1	1
EHI_188880A	1	0	1	0
EHI_192060A	1	0	1	0
EHI_192540A	1	0	1	0
EHI_193360A	1	0	1	0
EHI_193440A	0	0	1	1
EHI_194050A	1	0	1	0
EHI_194190A	1	0	1	0
EHI_196370A	1	0	1	0
EHI_196530A	1	0	1	0
EHI_197160A	0	0	1	1
EHI_197410A	1	0	1	0
EHI_198330A	1	0	1	0
EHI_200240A	1	0	1	0
EHI_202700A	1	0	0	1
EHI_001130A	0	0	1	0
EHI_004530A	1	0	0	0
EHI_005100A	1	0	0	0
EHI_006970A	0	0	1	0
EHI_009490A	0	0	1	0
EHI_009500A	0	0	1	0
EHI_009950A	0	0	1	0
EHI_011400A	1	0	0	0
EHI_014010A	1	0	0	0
EHI_017570A	1	0	0	0
EHI_017650A	0	0	1	0
EHI_022500A	0	0	1	0
EHI_025400A	1	0	0	0
EHI_028930A	1	0	0	0
EHI_030150A	1	0	0	0
EHI_035160A	1	0	0	0
EHI_035400A	1	0	0	0
EHI_037120A	0	0	1	0
EHI_037820A	1	0	0	0
EHI_040340A	0	0	1	0
EHI_044220A	1	0	0	0
EHI_048440A	1	0	0	0
EHI_048580A	1	0	0	0
EHI_049670A	0	0	1	0
EHI_054940A	1	0	0	0
EHI_056680A	1	0	0	0
EHI_058110A	1	0	0	0
EHI_058800A	1	0	0	0
EHI_063140A	1	0	0	0
EHI_065830A	1	0	0	0
EHI_066730A	1	0	0	0
EHI_068140A	1	0	0	0
EHI_069510A	1	0	0	0
EHI_079890A	1	0	0	0
EHI_079930A	1	0	0	0
EHI_080100A	1	0	0	0
EHI_080710A	1	0	0	0
EHI_082270A	0	0	1	0
EHI_085470A	1	0	0	0
EHI_086030A	1	0	0	0
EHI_086040A	1	0	0	0
EHI_086540A	1	0	0	0
EHI_087610A	1	0	0	0
EHI_087730A	1	0	0	0
EHI_091470A	0	0	1	0
EHI_091550A	1	0	0	0
EHI_095200A	1	0	0	0
EHI_096730A	1	0	0	0
EHI_098180A	1	0	0	0
EHI_098250A	0	0	1	0
