edgeR_EhMyb10_1	edgeR_EhMyb10_2	edgeR_pEhEx_1	edgeR_pEhEx_2	NOISeq_EhMyb10_1	NOISeq_EhMyb10_2	NOISeq_pEhEx_1	NOISeq_pEhEx_2	DESeq2_EhMyb10_1	DESeq2_EhMyb10_2	DESeq2_pEhEx_1	DESeq2_pEhEx_2
EHI_010030A	24.2122282581326	11.8469830285151	66.1871970015486	110.312252602737	200.08093962477	95.5673809600492	528.434993049973	911.579839640209	195.281872385006	95.2953173422711	502.991850938326	905.984152005646
EHI_012420A	1.97382295582602	3.38485229386146	10.6237972459872	11.1744879259916	16.3109461650628	27.3049659885855	84.8198213276235	92.3418538856316	15.9197178574733	27.2272335263632	80.7359078920893	91.7750179953771
EHI_014110A	1280.35315734581	86.964666626902	1255.48839312312	1628.60998388041	10580.3670790707	701.527587706735	10023.7512744167	13458.23326887	10326.590316881	699.530461369639	9541.12667248638	13375.6205714288
EHI_015310A	764.264248495837	184.083890135388	1198.32672298542	1653.10789971816	6315.59835511231	1484.97007337923	9567.37559860078	13660.6750254654	6164.11475441367	1480.74262331837	9106.72461940328	13576.8196493417
EHI_015320A	1593.13830174571	2479.79486513358	869.929167408138	959.143546980942	13165.1083480277	20004.0381596376	6945.46731632301	7926.00912518338	12849.3349400286	19947.0901619295	6611.05624535843	7877.35571126987
EHI_017660A	13.9483488878372	0.520746506747916	27.5466601157013	64.7547249044639	115.264019566444	4.20076399824392	219.931041141537	535.109204568019	112.499339526145	4.18880515790203	209.341778870639	531.824463255262
EHI_017750A	26.0544630169035	29.9429241380052	89.3151095901579	126.0711458317	215.304489378829	241.543929899025	713.086993462321	1041.80553101738	210.140275718648	240.856296579367	678.753207942344	1035.41045943502
EHI_018630A	1.44747016760575	4.29615868067031	0	0	11.961360521046	34.6563029855124	0	0	11.6744597621471	34.5576425526917	0	0
EHI_020080A	32.8970492637671	38.7956147527198	100.879065884463	120.483901868704	271.849102751046	312.956917869172	805.412993668495	995.634604074566	265.328630957889	312.065984263701	766.633886444353	989.522950437335
EHI_022010A	218.304818914358	39.1861746327807	556.856204318426	477.351202171844	1803.99064585594	316.107490867855	4445.90974976561	3944.65457880672	1760.72079503655	315.207588132128	4231.84763225527	3920.44051231534
EHI_023400A	209.225233317559	582.845527677605	161.989404025097	62.7490475844141	1728.96029349665	4701.70510503451	1293.31462077429	518.53502566547	1687.49009289217	4688.32017298184	1231.04397608911	515.352024127887
EHI_025830A	165.801128289386	58.4537953824536	217.834851495153	268.187710223797	1370.11947786527	471.53575880288	1739.18164616021	2216.20449325516	1337.25630002776	470.193378974503	1655.44335031833	2202.60043188905
EHI_027610A	72.3735083802876	10.8054900150193	107.460179222685	114.180344577119	598.068026052302	87.1658529635614	857.956245818351	943.544327523697	583.722988107355	86.9177070264671	816.647280713789	937.752427465584
EHI_028990A	18.5539357847646	6.89989121440989	42.3071571742853	91.8313687251357	153.32289395159	55.660122976732	337.778049534784	758.860619752434	149.645347860249	55.5016683422019	321.514677446373	754.20239147483
EHI_030070A	1586.55889189296	145.548648636043	2080.00787849753	2697.49273280122	13110.7385274775	1174.11353750918	16606.6701509057	22291.0867540071	12796.269213837	1170.77104163362	15807.0904973857	22154.2540235251
EHI_032670A	0.78952918233041	0.130186626686979	2.35039762079363	6.7333452887385	6.52437846602511	1.05019099956098	18.7654471963769	55.6418863157011	6.36788714298932	1.04720128947551	17.8619265247985	55.3003313561888
EHI_032780A	1.71064656171589	2.86410578711354	5.92300200439994	13.8964785746305	14.1361533430544	23.1042019903416	47.2889269348697	114.835382396234	13.7970888098102	23.0384283684612	45.0120548424923	114.130471096815
EHI_033240A	0	0	1.12819085798094	2.57872798292113	0	0	9.0074146542609	21.3096585889919	0	0	8.57372473190329	21.1788503066255
EHI_035060A	0	0	21.4356263016379	16.0454185603981	0	0	171.140878430957	132.593431220394	0	0	162.900769906163	131.779513019003
EHI_035510A	5.92146886747808	6.37914470766198	15.7946720117332	17.048257220423	48.9328384951883	51.459358978488	126.103805159653	140.880520671669	47.7591535724199	51.3128631842998	120.032146246646	140.015732582691
