edgeR_U2AF84_1	edgeR_U2AF84_2	edgeR_pEhEx_1	edgeR_pEhEx_2	NOISeq_U2AF84_1	NOISeq_U2AF84_2	NOISeq_pEhEx_1	NOISeq_pEhEx_2	DESeq2_U2AF84_1	DESeq2_U2AF84_2	DESeq2_pEhEx_1	DESeq2_pEhEx_2
EHI_022010A	181.88999450494	293.791017931103	560.731290973836	490.614123415634	1350.33435676755	2181.0771191777	4218.4005314189	3659.00140853825	1321.91655103057	2145.41952211743	4026.60605641192	3684.6654735281
EHI_023000A	4.48157165730098	9.51739357078986	14.8632133518305	21.9392270074818	33.2707700477986	70.6562423100581	111.816458455642	163.622812086495	32.5705862191049	69.5011103819243	106.732593425067	164.770454848645
EHI_023400A	357.134900000778	272.727933799027	163.116666275185	64.4924928139398	2651.33619242975	2024.70674685216	1227.13221604504	480.985179153588	2595.53878456385	1991.60558930498	1171.33922593242	484.358786736287
EHI_025230A	42.3431253138092	86.1246106733771	103.095791975436	156.519451737941	314.351413555063	639.381077953313	775.593141771937	1167.32247817412	307.735883587405	628.928080833151	740.329899617185	1175.51002351752
EHI_027520A	3.86342384250084	5.61682243522024	10.6030566586307	13.2518820850561	28.6816983170678	41.6987659534769	79.7671550766363	98.8325710589564	28.0780915681939	41.0170487499881	76.1404488127867	99.5257780964972
EHI_027610A	32.7618341844071	59.9127726423493	108.207980007276	117.352778019886	243.220801728735	444.786836837087	814.052305826744	875.217323710981	238.102216498284	437.51518666654	777.040473151921	881.356057143425
EHI_028920A	2.3180543055005	2.65238837218734	0.757361189902193	0	17.2090189902407	19.6910839224752	5.69765393404545	0	16.8468549409164	19.3691619097166	5.43860348662762	0
EHI_028930A	6.18147814800135	5.46079958979746	1.98807312349326	1.91416074561922	45.8907173073085	40.5404668992137	14.9563415768693	14.275815819627	44.9249465091103	39.8776862847107	14.2763341523975	14.3759457250496
EHI_028990A	12.5174932497027	21.6871755137671	42.6015669319984	94.3828490724553	92.9287025472996	161.003568542591	320.493033790057	703.907533875456	90.9730166809483	158.371382673565	305.921446122804	708.84470844283
EHI_029380A	1.08175867590024	1.71625129965063	0	0	8.03087552877898	12.7412895968957	0	0	7.8618656390943	12.5329871180519	0	0
EHI_030070A	780.25707923147	1625.28998076915	2094.48237067452	2772.44097532802	5792.55579211501	12066.0012482603	15756.8619546027	20676.8720052121	5670.65137311244	11868.7388007952	15040.4579422687	20821.8986197661
EHI_030170A	8.19045854610178	7.80114227113923	14.2951924594039	23.7061446188226	60.8052004321837	57.9149527131624	107.543218005108	176.800488227689	59.5255541245711	56.9681232638724	102.653640810096	178.040558594845
EHI_031240A	8.80860636090192	11.2336448704405	18.0819984089149	33.2769483469187	65.3942721629146	83.3975319069539	136.031487675335	248.179567325824	64.0180487754821	82.0340974999762	129.846658243234	249.920287220093
EHI_032670A	0.927221722200202	0.624091381691138	2.36675371844435	6.92042731108487	6.88360759609627	4.63319621705299	17.805168543892	51.6125648863439	6.73874197636654	4.55744986110979	16.9956358957113	51.9745730059486
EHI_032780A	3.55434993510077	2.80841121761012	5.96421937047977	14.2825840250049	26.3871624517024	20.8493829767385	44.8690247306079	106.519548807986	25.8318442427384	20.508524374994	42.8290024571925	107.266671948447
EHI_033240A	0	0	1.13604178485329	2.65037641701123	0	0	8.54648090106818	19.7665142117913	0	0	8.15790522994143	19.9051556192994
EHI_033850A	1.69990649070037	2.18431983591898	4.63883728815093	4.85902343118725	12.6199472595098	16.2161867596855	34.8981303460284	36.238609388284	12.3543602900053	15.9510745138843	33.3114463555942	36.492785302049
EHI_035060A	0	6.55295950775695	21.5847939122125	16.491231039181	0	48.6485602790564	162.383137120295	122.991643984479	0	47.8532235416528	155.000199368887	123.854301631197
EHI_035510A	5.87240424060128	7.0210280440253	15.9045849879461	17.5219329791298	43.596181441943	52.1234574418462	119.650732614955	130.678621733509	42.6786991836548	51.2713109374851	114.21067321918	131.595195483146
EHI_035670A	4.32703470360094	7.48909658029366	26.8863222415279	43.28948147785	32.1235021151159	55.5983546046359	202.266714658614	322.853065459258	31.4474625563772	54.6893983333175	193.070423775281	325.117541781891
EHI_039020A	3.09073907400067	25.5877466493367	23.478196886968	200.103419484348	22.9453586536542	189.961044899173	176.627271955409	1492.37182299024	22.4624732545551	186.855444305501	168.596708085456	1502.83924925711
EHI_041880A	0	0	2.36675371844435	2.35589014845442	0	0	17.805168543892	17.5702348549256	0	0	16.9956358957113	17.6934716615995
EHI_044220A	5.25425642580114	2.49636552676455	0.852031338639967	0.441729402835204	39.0071097112122	18.532784868212	6.40986067580113	3.29441903529855	38.1862045327437	18.2297994444392	6.11842892245607	3.31752593654991
EHI_044820A	9.89036503680215	13.5739875517823	22.5314953995903	38.5777011809412	73.4251476916935	100.772017720903	169.505204537852	287.712595749406	71.8799144145764	99.1245344791379	161.798453727172	289.730598458692
EHI_045280A	3.86342384250084	3.58852544472404	7.38427160154639	9.27631745953929	28.6816983170678	26.6408782480547	55.5521258569432	69.1827997412695	28.0780915681939	26.2053367013813	53.0263839946193	69.6680446675481
EHI_047920A	0	0.624091381691138	2.46142386718213	2.35589014845442	0	4.63319621705299	18.5173752856477	17.5702348549256	0	4.55744986110979	17.6754613315398	17.6934716615995
EHI_048140A	27.9711886197061	70.5223261310986	124.964596333862	324.523867949597	207.655495815571	523.551172526988	940.1128991175	2420.299851266	203.285382953724	514.991834305406	897.369575293557	2437.27572138533
EHI_048300A	2.3180543055005	3.27647975387848	7.38427160154639	13.6936114878913	17.2090189902407	24.3242801395282	55.5521258569432	102.126990094255	16.8468549409164	23.9266117708264	53.0263839946193	102.843304033047
EHI_048650A	1.08175867590024	1.40420560880506	0.0946701487377742	0	8.03087552877898	10.4246914883692	0.712206741755682	0	7.8618656390943	10.254262187497	0.679825435828453	0
EHI_049000A	146.964642968732	412.212357606997	638.739493533762	866.525845228392	1091.05180398126	3060.2261013635	4805.25888662558	6462.55200757732	1068.0906032541	3010.19563326302	4586.78221553457	6507.88004553207
EHI_049660A	6.64508900910145	6.24091381691138	12.9698103770751	20.7612819332546	49.3325211053566	46.3319621705299	97.5723236205284	154.837694659032	48.2943174972935	45.5744986110979	93.136084708498	155.923719017846
EHI_050000A	0	1.40420560880506	5.11218803183981	10.7487488023233	0	10.4246914883692	38.4591640548068	80.164196525598	0	10.254262187497	36.7105735347364	80.7264644560478
