edgeR_CDC5_1	edgeR_CDC5_2	edgeR_pEhEx_1	edgeR_pEhEx_2	limma_CDC5_1	limma_CDC5_2	limma_pEhEx_1	limma_pEhEx_2	NOISeq_CDC5_1	NOISeq_CDC5_2	NOISeq_pEhEx_1	NOISeq_pEhEx_2	DESeq2_CDC5_1	DESeq2_CDC5_2	DESeq2_pEhEx_1	DESeq2_pEhEx_2
EHI_005010A	6.98142905317341	9.42916336519147	18.5927798278781	27.2237520870425	6.98142905317341	9.42916336519147	18.5927798278781	27.2237520870425	51.2469272743986	72.6247259735503	133.71025384049	199.834966840602	49.7840470269547	68.2850834028427	127.872668028568	200.400730633872
EHI_005020A	68.8956814457902	67.5756707838722	147.427597625094	230.542195305533	68.8956814457902	67.5756707838722	147.427597625094	230.542195305533	505.726255997355	520.477202810444	1060.22777035136	1692.28664024489	491.289937766	489.376431053706	1013.93984244875	1697.07776626263
EHI_005070A	6.06281996722954	6.85757335650289	16.3391095457111	22.0655674810765	6.06281996722954	6.85757335650289	16.3391095457111	22.0655674810765	44.5039105277672	52.8179825262184	117.502950344673	161.971499439225	43.233514523408	49.6618788384311	112.372950691772	162.430065882191
EHI_005100A	5.69537633285199	4.57171557100192	10.1415162697517	12.3223298920297	5.69537633285199	4.57171557100192	10.1415162697517	12.3223298920297	41.8067038291147	35.2119883508123	72.9328657311765	90.4516165699566	40.6133015219893	33.1079192256207	69.7487280155826	90.7076991290156
EHI_006170A	11.0233090313264	11.7150211506924	23.4757321059067	47.9997734166275	11.0233090313264	11.7150211506924	23.4757321059067	47.9997734166275	80.9162009595767	90.2307201489565	168.826078081427	352.340599429482	78.60639004256	84.8390430156531	161.45538892496	353.338130328142
EHI_006810A	36.0094761689997	33.0020717781701	65.6381469681152	85.8264605270444	36.0094761689997	33.0020717781701	65.6381469681152	85.8264605270444	264.326256467951	254.186540907426	472.03771431567	630.006027039582	256.780874139029	238.99779190995	451.429267434187	631.789671840469
EHI_006840A	33.8048143627344	23.8586406361663	48.9234257087096	84.8234801869955	33.8048143627344	23.8586406361663	48.9234257087096	84.8234801869955	248.143016276035	183.762564205802	351.833546721694	622.643686155981	241.059596130517	172.781953458708	336.473030519616	624.406487027642
EHI_006940A	9.55353449381624	9.71489558837909	19.1561973984199	26.6506204641574	9.55353449381624	9.71489558837909	19.1561973984199	26.6506204641574	70.1273741649665	74.8254752454761	137.762079714445	195.627914907115	68.1255380368853	70.354328354444	131.747597362767	196.181767883685
EHI_006960A	0.551165451566322	0.571464446375241	2.34757321059067	3.15222392586808	0.551165451566322	0.571464446375241	2.34757321059067	3.15222392586808	4.04581004797884	4.40149854385153	16.8826078081427	23.138785634175	3.930319502128	4.13848990320259	16.145538892496	23.2042951260273
EHI_006970A	0.551165451566322	0.28573222318762	1.4085439263544	1.86267777437659	0.551165451566322	0.28573222318762	1.4085439263544	1.86267777437659	4.04581004797884	2.20074927192577	10.1295646848856	13.6729187838307	3.930319502128	2.0692449516013	9.68732333549758	13.711628938107
EHI_007260A	0.367443634377548	0.571464446375241	1.69025271162528	3.5820726430319	0.367443634377548	0.571464446375241	1.69025271162528	3.5820726430319	2.69720669865256	4.40149854385153	12.1554776218628	26.2940745842897	2.62021300141867	4.13848990320259	11.6247880025971	26.3685171886673
EHI_007510A	7579.44356812287	6512.40883089224	3494.50357835685	2238.07898736633	7579.44356812287	6512.40883089224	3494.50357835685	2238.07898736633	55636.6311764556	50159.4774057321	25130.7746788889	16428.5378002642	54048.4436867635	47162.2309368967	24033.6033738138	16475.0495394794
EHI_007620A	1878.37185893802	1522.52415125523	832.825072189147	537.740745171949	1878.37185893802	1522.52415125523	832.825072189147	537.740745171949	13788.1206435119	11726.6924954564	5989.27394601671	3947.26647659357	13394.5288632522	11025.9717246075	5727.79137750187	3958.44180036274
EHI_007930A	8.81864722506115	8.4291005840348	18.874488613149	26.6506204641574	8.81864722506115	8.4291005840348	18.874488613149	26.6506204641574	64.7329607676614	64.9221035218101	135.736166777467	195.627914907115	62.885112034048	61.0427260722382	129.810132695668	196.181767883685
EHI_007940A	25.5373325892396	35.5736617868587	83.0101887264862	90.8413622272891	25.5373325892396	35.5736617868587	83.0101887264862	90.8413622272891	187.455865556353	273.993284354758	596.969012095926	666.817731457587	182.104803598597	257.620996474361	570.906255238657	668.705595904604
EHI_008470A	11.9419181172703	22.0013811854468	32.5843161629985	48.5729050395126	11.9419181172703	22.0013811854468	32.5843161629985	48.5729050395126	87.6592177062081	169.457693938284	234.330596377021	356.547651362969	85.1569225461067	159.3318612733	224.100079827844	357.557093078329
EHI_009490A	0	4.42884945940811	16.3391095457111	17.7670803094382	0	4.42884945940811	16.3391095457111	17.7670803094382	0	34.1116137148494	117.502950344673	130.418609938077	0	32.0732967498201	112.372950691772	130.78784525579
EHI_009500A	271.17340217063	276.588792045616	197.102246761193	65.1937221031807	271.17340217063	276.588792045616	197.102246761193	65.1937221031807	1990.53854360559	2130.32529522414	1417.46375157166	478.552157434073	1933.71719504698	2003.02911315005	1355.57944541396	479.907012833745
EHI_009810A	76.6119977677187	40.5739756926421	123.670156733917	137.265023680983	76.6119977677187	40.5739756926421	123.670156733917	137.265023680983	562.367596669058	312.506396613459	889.375779332958	1007.58893806998	546.314410795792	293.832783127384	850.546988856688	1010.44157866973
EHI_009940A	3.67443634377548	4.14311723622049	6.76101084650114	20.9193042353063	3.67443634377548	4.14311723622049	6.76101084650114	20.9193042353063	26.9720669865256	31.9108644429236	48.621910487451	153.557395572252	26.2021300141867	30.0040517982188	46.4991520103884	153.992140381817
